VCB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"22,569","25,534","27,690","28,822","26,512"
2. Chi phí lãi và các chi phí tương tự,"8,905","10,725","13,487","14,802","13,916"
I. Thu nhập lãi thuần,"13,664","14,809","14,203","14,021","12,596"
3. Thu nhập từ hoạt động dịch vụ,"2,598","4,124","2,884","3,236","2,614"
4. Chi phí hoạt động dịch vụ,"1,496","1,793","1,427","1,614","1,723"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,102","2,331","1,456","1,622",891
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,"1,587","1,188","1,706","1,481","1,581"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-154,4,30,59,42
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-1,-2,,0,0
5. Thu nhập từ hoạt động khác,617,722,"1,445",626,873
6. Chi phí hoạt động khác,228,422,362,368,352
VI. Lãi/lỗ thuần từ hoạt động khác,389,300,"1,083",258,521
"VII. Thu nhập từ góp vốn, mua cổ phần",127,32,40,30,147
VIII. Chi phí hoạt động,"6,370","4,565","5,274","5,656","5,233"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"10,344","14,098","13,243","11,814","10,545"
X. Chi phí dự phòng rủi ro tín dụng,"2,778","1,679","2,022","2,536","1,494"
XI. Tổng lợi nhuận trước thuế (IX-X),"7,566","12,419","11,221","9,278","9,051"
7. Chi phí thuế TNDN hiện hành,"1,501","3,407","2,225","1,849","1,776"
8. Chi phí thuế TNDN hoãn lại,-5,-922,4,1,1
XII. Chi phí thuế TNDN,"1,497","2,486","2,229","1,850","1,777"
XIII. Lợi nhuận sau thuế (XI-XII),"6,069","9,934","8,992","7,428","7,275"
XIV. Lợi ích của cổ đông thiểu số,5,5,5,5,6
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"6,065","9,928","8,986","7,423","7,269"
Lãi cơ bản trên cổ phiếu (BCTC),"1,282","2,098","1,899","1,568","1,301"
