VCB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"18,104","16,835","17,024","17,163","17,201"
2. Chi phí lãi và các chi phí tương tự,"9,070","8,758","8,301","6,773","7,119"
I. Thu nhập lãi thuần,"9,034","8,077","8,723","10,390","10,082"
3. Thu nhập từ hoạt động dịch vụ,"2,108","2,009","2,203","4,270","4,318"
4. Chi phí hoạt động dịch vụ,980,853,946,"1,202",880
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,127","1,156","1,257","3,069","3,438"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,"1,108",821,"1,034",943,"1,042"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-54,33,7,16,81
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,,,,,
5. Thu nhập từ hoạt động khác,"1,145",467,700,233,"1,137"
6. Chi phí hoạt động khác,106,181,160,298,124
VI. Lãi/lỗ thuần từ hoạt động khác,"1,039",286,540,-65,"1,012"
"VII. Thu nhập từ góp vốn, mua cổ phần",32,360,26,39,31
VIII. Chi phí hoạt động,"4,910","3,118","4,579","3,430","4,779"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,375","7,615","7,008","10,963","10,906"
X. Chi phí dự phòng rủi ro tín dụng,"2,152","1,856","2,025","3,884","2,275"
XI. Tổng lợi nhuận trước thuế (IX-X),"5,223","5,759","4,983","7,079","8,631"
7. Chi phí thuế TNDN hiện hành,"1,043","1,142",986,"1,406","1,724"
8. Chi phí thuế TNDN hoãn lại,-3,1,1,-1,0
XII. Chi phí thuế TNDN,"1,040","1,144",987,"1,406","1,724"
XIII. Lợi nhuận sau thuế (XI-XII),"4,183","4,615","3,996","5,674","6,908"
XIV. Lợi ích của cổ đông thiểu số,5,5,5,6,5
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"4,178","4,610","3,991","5,668","6,903"
Lãi cơ bản trên cổ phiếu (BCTC),"1,129","1,246","1,076","1,528","1,861"
