GAS,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"22,604","23,315","30,071","25,257","24,961"
2. Các khoản giảm trừ doanh thu,33,,19,5,16
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"22,571","23,315","30,052","25,252","24,945"
4. Giá vốn hàng bán,"18,512","19,624","24,316","21,069","20,901"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,058","3,691","5,736","4,183","4,044"
6.Doanh thu hoạt động tài chính,544,463,445,409,420
7. Chi phí tài chính,138,181,229,109,141
Trong đó :Chi phí lãi vay,110,108,84,69,57
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",9,0,14,12,13
9. Chi phí bán hàng,700,585,545,616,669
10. Chi phí quản lý doanh nghiệp,406,218,"1,181",701,"1,098"
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,368","3,169","4,239","3,178","2,569"
12. Thu nhập khác,3,2,12,26,2
13. Chi phí khác,6,1,12,1,12
14. Lợi nhuận khác,-3,1,0,25,-11
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,365","3,171","4,239","3,204","2,558"
16. Chi phí thuế TNDN hiện hành,575,620,816,628,498
17. Chi phí thuế TNDN hoãn lại,14,7,7,-2,8
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,776","2,544","3,416","2,578","2,052"
Lợi ích của cổ đông thiểu số,53,32,95,56,8
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,723","2,512","3,321","2,522","2,044"
19. Lãi cơ bản trên cổ phiếu (*),"1,165","1,093","1,404","1,053",852
20. Lãi suy giảm trên cổ phiếu (*),,,,,852
