GAS,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"17,094","15,627","15,937","15,525","17,571"
2. Các khoản giảm trừ doanh thu,,,,,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"17,094","15,627","15,937","15,525","17,570"
4. Giá vốn hàng bán,"13,782","13,225","13,031","12,905","14,301"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,312","2,402","2,906","2,620","3,269"
6.Doanh thu hoạt động tài chính,377,402,384,288,263
7. Chi phí tài chính,83,34,18,26,56
Trong đó :Chi phí lãi vay,34,26,17,25,53
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-9,-1,0,-1,-1
9. Chi phí bán hàng,439,443,513,546,534
10. Chi phí quản lý doanh nghiệp,195,167,155,255,353
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,963","2,159","2,605","2,079","2,589"
12. Thu nhập khác,5,13,5,28,73
13. Chi phí khác,0,11,4,21,24
14. Lợi nhuận khác,4,2,0,7,49
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,968","2,161","2,605","2,086","2,637"
16. Chi phí thuế TNDN hiện hành,617,449,545,427,579
17. Chi phí thuế TNDN hoãn lại,0,-1,-8,-22,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,351","1,713","2,068","1,681","2,057"
Lợi ích của cổ đông thiểu số,18,-2,45,-1,28
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,333","1,714","2,023","1,682","2,030"
19. Lãi cơ bản trên cổ phiếu (*),"1,217",752,"1,038",837,"1,058"
20. Lãi suy giảm trên cổ phiếu (*),,,,,"1,058"
