GAS,Q1/2015,Q2/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"15,532","15,778","15,724","17,264","14,041"
2. Các khoản giảm trừ doanh thu,0,,,,57
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"15,532","15,778","15,724","17,264","13,984"
4. Giá vốn hàng bán,"11,483","11,924","12,201","15,295","11,577"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,049","3,854","3,523","1,970","2,407"
6.Doanh thu hoạt động tài chính,277,272,292,257,329
7. Chi phí tài chính,355,90,135,66,100
Trong đó :Chi phí lãi vay,67,41,35,55,71
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",1,1,0,1,0
9. Chi phí bán hàng,419,398,443,492,489
10. Chi phí quản lý doanh nghiệp,208,269,247,271,206
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,345","3,371","2,989","1,400","1,941"
12. Thu nhập khác,67,5,19,56,11
13. Chi phí khác,41,11,6,6,1
14. Lợi nhuận khác,26,-6,13,51,9
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,371","3,365","3,002","1,450","1,951"
16. Chi phí thuế TNDN hiện hành,715,704,612,343,472
17. Chi phí thuế TNDN hoãn lại,-3,-15,1,7,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,660","2,677","2,390","1,101","1,479"
Lợi ích của cổ đông thiểu số,77,90,73,56,164
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,583","2,587","2,317","1,044","1,315"
19. Lãi cơ bản trên cổ phiếu (*),"1,404","1,325","1,191",498,671
20. Lãi suy giảm trên cổ phiếu (*),"1,339",,,,
