GAS,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"15,762","13,787","15,663","16,317","16,390"
2. Các khoản giảm trừ doanh thu,53,,,60,74
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"15,709","13,787","15,663","16,257","16,316"
4. Giá vốn hàng bán,"13,177","11,981","10,859","12,860","13,190"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,532","1,806","4,804","3,398","3,126"
6.Doanh thu hoạt động tài chính,244,325,266,239,275
7. Chi phí tài chính,89,89,220,82,179
Trong đó :Chi phí lãi vay,107,83,97,64,90
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",0,0,0,-1,-2
9. Chi phí bán hàng,497,579,583,570,552
10. Chi phí quản lý doanh nghiệp,233,195,295,247,296
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,957","1,269","3,973","2,738","2,373"
12. Thu nhập khác,35,5,16,51,-22
13. Chi phí khác,8,1,5,4,5
14. Lợi nhuận khác,27,3,11,47,-27
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,984","1,272","3,984","2,785","2,346"
16. Chi phí thuế TNDN hiện hành,374,281,819,560,475
17. Chi phí thuế TNDN hoãn lại,-48,5,89,9,-1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,658",986,"3,076","2,216","1,872"
Lợi ích của cổ đông thiểu số,-33,22,9,40,63
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,691",964,"3,067","2,176","1,809"
19. Lãi cơ bản trên cổ phiếu (*),843,482,"1,587","1,116",901
20. Lãi suy giảm trên cổ phiếu (*),,,,,
