GAS,Q3/2011,Q1/2012,Q2/2012,Q3/2012,Q4/2012
Giai đoạn,01/07-30/09,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"49,023","18,457",,"16,374","15,157"
2. Các khoản giảm trừ doanh thu,48,9,,12,15
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"48,975","18,447",,"16,362","15,142"
4. Giá vốn hàng bán,"40,960","14,884",,"12,588","11,165"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"8,015","3,563",,"3,775","3,977"
6.Doanh thu hoạt động tài chính,"1,117",259,,253,275
7. Chi phí tài chính,"1,223",173,,146,156
Trong đó :Chi phí lãi vay,390,149,,125,97
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,914,312,,314,388
10. Chi phí quản lý doanh nghiệp,"1,057",396,,398,630
11. Lợi nhuận thuần từ hoạt động kinh doanh,"5,938","2,941",,"3,170","3,077"
12. Thu nhập khác,160,17,,11,24
13. Chi phí khác,65,10,,6,12
14. Lợi nhuận khác,95,6,,5,12
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,2,-1,,2,1
15. Tổng lợi nhuận kế toán trước thuế,"6,034","2,946",,"3,178","3,090"
16. Chi phí thuế TNDN hiện hành,984,553,,596,499
17. Chi phí thuế TNDN hoãn lại,0,,,2,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"5,050","2,394",,"2,579","2,592"
Lợi ích của cổ đông thiểu số,519,87,,96,92
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"4,531","2,307",,"2,483","2,499"
19. Lãi cơ bản trên cổ phiếu (*),,,,"1,310","1,319"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
