GAS,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"24,329","22,052","21,214","24,043","22,153"
2. Các khoản giảm trừ doanh thu,,,,,27
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"24,329","22,052","21,214","24,043","22,126"
4. Giá vốn hàng bán,"19,932","17,183","16,372","19,700","18,445"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,397","4,869","4,842","4,343","3,682"
6.Doanh thu hoạt động tài chính,437,490,536,598,594
7. Chi phí tài chính,183,183,75,95,278
Trong đó :Chi phí lãi vay,68,96,62,62,106
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",12,6,-1,10,9
9. Chi phí bán hàng,616,682,636,546,662
10. Chi phí quản lý doanh nghiệp,198,350,427,306,336
11. Lợi nhuận thuần từ hoạt động kinh doanh,"3,849","4,149","4,240","4,003","3,008"
12. Thu nhập khác,27,26,28,-3,5
13. Chi phí khác,24,6,1,1,5
14. Lợi nhuận khác,2,20,27,-4,1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"3,851","4,169","4,267","3,999","3,009"
16. Chi phí thuế TNDN hiện hành,770,803,841,793,604
17. Chi phí thuế TNDN hoãn lại,-7,29,9,10,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"3,089","3,337","3,417","3,196","2,404"
Lợi ích của cổ đông thiểu số,,87,67,40,27
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"3,089","3,250","3,350","3,156","2,377"
19. Lãi cơ bản trên cổ phiếu (*),"1,562","1,678","1,749","1,602","1,218"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
