GAS,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"19,118","18,738","20,453","19,145","17,318"
2. Các khoản giảm trừ doanh thu,104,99,100,107,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"19,014","18,639","20,353","19,038","17,318"
4. Giá vốn hàng bán,"14,280","14,293","15,914","14,708","13,476"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"4,734","4,346","4,439","4,330","3,841"
6.Doanh thu hoạt động tài chính,458,394,288,447,537
7. Chi phí tài chính,79,60,74,48,60
Trong đó :Chi phí lãi vay,100,59,55,44,42
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",-1,-1,-1,-1,3
9. Chi phí bán hàng,693,618,559,741,453
10. Chi phí quản lý doanh nghiệp,298,248,287,303,40
11. Lợi nhuận thuần từ hoạt động kinh doanh,"4,120","3,813","3,806","3,684","3,828"
12. Thu nhập khác,13,4,4,29,5
13. Chi phí khác,58,0,9,24,9
14. Lợi nhuận khác,-45,4,-5,4,-4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"4,074","3,817","3,801","3,688","3,824"
16. Chi phí thuế TNDN hiện hành,788,742,724,757,737
17. Chi phí thuế TNDN hoãn lại,14,11,20,2,-11
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"3,273","3,064","3,057","2,929","3,098"
Lợi ích của cổ đông thiểu số,50,34,49,45,91
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"3,223","3,029","3,008","2,884","3,007"
19. Lãi cơ bản trên cổ phiếu (*),"1,684","1,489","1,531","1,474","1,555"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
