GAS,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"16,586","16,088","18,791","19,626","19,027"
2. Các khoản giảm trừ doanh thu,11,24,88,21,14
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"16,576","16,064","18,703","19,606","19,014"
4. Giá vốn hàng bán,"12,752","11,508","13,995","15,361","12,385"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,824","4,556","4,708","4,245","6,629"
6.Doanh thu hoạt động tài chính,317,297,315,275,284
7. Chi phí tài chính,170,121,155,111,132
Trong đó :Chi phí lãi vay,106,108,97,102,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,306,312,364,353,388
10. Chi phí quản lý doanh nghiệp,803,431,398,237,319
11. Lợi nhuận thuần từ hoạt động kinh doanh,"2,862","3,990","4,106","3,819","6,074"
12. Thu nhập khác,12,5,13,8,16
13. Chi phí khác,17,1,25,9,15
14. Lợi nhuận khác,-4,5,-12,0,1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,1,2,1,1,0
15. Tổng lợi nhuận kế toán trước thuế,"2,858","3,997","4,094","3,820","6,075"
16. Chi phí thuế TNDN hiện hành,614,801,780,775,"1,294"
17. Chi phí thuế TNDN hoãn lại,0,0,-14,,-17
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"2,245","3,195","3,329","3,044","4,798"
Lợi ích của cổ đông thiểu số,50,39,98,94,14
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"2,195","3,156","3,230","2,951","4,784"
19. Lãi cơ bản trên cổ phiếu (*),"1,156","1,668","1,706","1,551","2,212"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
