MSN,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,"1,351","1,332","1,297","1,273","2,455"
12. Dự phòng phải trả dài hạn,540,476,485,565,573
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"34,080","34,914","36,028","38,516","51,888"
I. Vốn chủ sở hữu,"34,080","34,914","36,028","38,516","51,888"
1. Vốn góp của chủ sở hữu,"11,631","11,631","11,689","11,689","11,689"
- Cổ phiếu phổ thông có quyền biểu quyết,"11,631","11,631","11,689","11,689","11,689"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"11,084","11,084","11,084","11,084","11,084"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,"-9,427","-9,427","-9,427","-9,427","-8,564"
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,4,6,8,7,11
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"16,193","16,912","17,924","20,292","28,559"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"12,350","16,193","16,193","16,193","15,330"
- LNST chưa phân phối kỳ này,"3,843",718,"1,731","4,099","13,229"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"4,593","4,707","4,750","4,870","9,108"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"64,579","65,062","68,021","72,408","97,297"
