SSB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Công ty mẹ,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",823,735,784,803,810
II. Tiền gửi tại NHNN,"2,607","3,409","2,154","1,554","1,783"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","9,919","17,230","10,024","16,756","14,791"
"1. Tiền, vàng gửi tại các TCTD khác","8,291","15,168","7,776","13,281","12,969"
2. Cho vay các TCTD khác,"1,628","2,062","2,248","3,474","1,822"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"4,181","4,460","5,031","5,747","5,482"
1. Chứng khoán kinh doanh,"4,181","4,460","5,031","5,747","5,550"
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,-68
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,3,11,21,4,
VI. Cho vay khách hàng,"64,951","69,921","72,413","75,222","76,770"
1. Cho vay và cho thuê tài chính khách hàng,"65,541","70,526","73,048","75,875","77,503"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-590,-604,-634,-653,-733
VII. Hoạt động mua nợ,42,42,42,32,32
1. Mua nợ,64,42,42,42,42
2. Dự phòng rủi ro hoạt động mua nợ,-22,,,-10,-10
VII. Chứng khoán đầu tư,"20,871","22,060","22,889","21,108","18,366"
1. Chứng khoán đầu tư sẵn sàng để bán,"17,024","18,248","19,322","17,833","15,042"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"4,883","4,876","4,702","4,508","4,696"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,036","-1,064","-1,135","-1,234","-1,372"
"VIII. Góp vốn, đầu tư dài hạn",179,679,179,179,210
1. Đầu tư vào công ty con,,500,,,
"2. Đầu tư vào công ty liên doanh, liên kết",72,72,72,72,72
3. Đầu tư dài hạn khác,107,107,107,107,193
4. Dự phòng giảm giá đầu tư dài hạn,,,,,-54
IX. Tài sản cố định,395,375,373,784,779
1. Tài sản cố định hữu hình,233,230,225,232,227
a. Nguyên giá TSCĐ,566,571,576,593,598
b. Hao mòn TSCĐ,-332,-341,-351,-361,-371
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,161,145,148,552,552
a. Nguyên giá TSCĐ,256,243,252,660,667
b. Hao mòn TSCĐ,-94,-98,-104,-109,-114
X. Bất động sản đầu tư,251,,261,248,247
a. Nguyên giá BĐSĐT,256,,266,253,253
b. Hao mòn BĐSĐT,-5,,-5,-6,-6
"XI. Tài sản ""Có"" khác","7,568","6,150","7,010","7,047","7,101"
1. Các khoản phải thu,"1,570","1,553","1,447","1,763","1,295"
"2. Các khoản lãi, phí phải thu","3,432","2,525","3,260","3,500","3,327"
3. Tài sản thuế TNDN hoãn lại,,,,,
4. Tài sản Có khác,"2,575","2,078","2,312","1,793","2,490"
- Trong đó: Lợi thế thương mại,,,,,699
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-9,-7,-9,-9,-11
TỔNG CỘNG TÀI SẢN,"111,791","125,073","121,181","129,484","126,372"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,323,311,306,296,284
II. Tiền gửi và vay các TCTD khác,"26,144","32,602","25,713","24,362","16,311"
1. Tiền gửi của các TCTD khác,"13,978","18,711","12,140","13,991","11,616"
2. Vay các TCTD khác,"12,166","13,890","13,573","10,371","4,695"
III. Tiền gửi của khách hàng,"74,416","80,152","82,931","88,634","91,989"
