MSN,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"30,898","24,716","25,575","29,761","31,328"
I. Tiền và các khoản tương đương tiền,"3,711","4,696","5,608","7,721","7,118"
1. Tiền,"1,300","2,188","1,915","1,930","1,200"
2. Các khoản tương đương tiền,"2,411","2,507","3,693","5,791","5,918"
II.  Đầu tư tài chính ngắn hạn,982,267,295,447,551
1. Chứng khoán kinh doanh,488,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,494,267,295,447,551
III. Các khoản phải thu ngắn hạn,"14,856","5,995","6,336","7,051","8,921"
1. Phải thu ngắn hạn của khách hàng,"1,568","1,943","1,914","2,062","2,511"
2. Trả trước cho người bán ngắn hạn,"1,331",609,733,607,565
3. Phải thu nội bộ ngắn hạn,"1,140",,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
5. Phải thu về cho vay ngắn hạn,"1,040","1,140","1,140","1,140",
6. Phải thu ngắn hạn khác,"11,016","2,395","2,641","3,351","4,791"
7. Dự phòng phải thu ngắn hạn khó đòi (*),-99,-92,-92,-108,-85
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,"9,699","11,734","11,426","12,498","12,631"
1. Hàng tồn kho,"9,792","12,151","11,520","12,730","12,742"
2. Dự phòng giảm giá hàng tồn kho (*),-93,-417,-94,-232,-111
V. Tài sản ngắn hạn khác,"1,650","2,025","1,910","2,043","2,107"
1. Chi phí trả trước ngắn hạn,301,292,281,303,362
2. Thuế GTGT được khấu trừ,"1,325","1,652","1,508","1,663","1,669"
3. Thuế và các khoản khác phải thu của nhà nước,24,81,121,76,77
4. Giao dịch mua bán lại trái phiếu chính phủ,,,,,
