MSN,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"20,860","18,942","20,204","21,575","22,736"
2. Các khoản giảm trừ doanh thu,78,87,69,88,34
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"20,782","18,855","20,134","21,487","22,702"
4. Giá vốn hàng bán,"15,014","13,600","14,217","15,066","15,639"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"5,768","5,255","5,918","6,421","7,063"
6.Doanh thu hoạt động tài chính,644,574,647,855,"1,968"
7. Chi phí tài chính,"1,615","1,899","2,052","2,032","1,917"
Trong đó :Chi phí lãi vay,"1,669","1,622","1,549","1,707","14,526"
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",946,"1,249","1,273","1,158",764
9. Chi phí bán hàng,"3,820","3,580","3,702","3,678","3,605"
10. Chi phí quản lý doanh nghiệp,"1,030",971,911,"1,129",906
11. Lợi nhuận thuần từ hoạt động kinh doanh,893,627,"1,174","1,594","3,367"
12. Thu nhập khác,84,19,58,35,68
13. Chi phí khác,30,12,63,63,778
14. Lợi nhuận khác,55,7,-5,-28,-710
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,948,634,"1,169","1,566","2,657"
16. Chi phí thuế TNDN hiện hành,495,295,239,371,606
17. Chi phí thuế TNDN hoãn lại,-64,-140,-17,-107,505
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,517,479,946,"1,301","1,547"
Lợi ích của cổ đông thiểu số,467,374,443,600,856
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,50,104,503,701,691
19. Lãi cơ bản trên cổ phiếu (*),35,73,332,463,457
20. Lãi suy giảm trên cổ phiếu (*),,,,,
