MSN,Q4/2009,Q1/2010,Q2/2010,Q3/2010,Q4/2010
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,464",897,"1,226","1,417","2,151"
2. Các khoản giảm trừ doanh thu,111,34,9,12,50
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,353",862,"1,217","1,405","2,100"
4. Giá vốn hàng bán,861,540,687,794,"1,167"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,492,323,530,611,934
6.Doanh thu hoạt động tài chính,81,65,71,90,"1,773"
7. Chi phí tài chính,51,50,47,66,86
Trong đó :Chi phí lãi vay,0,0,0,0,0
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,214,187,187,225,353
10. Chi phí quản lý doanh nghiệp,40,24,34,39,126
11. Lợi nhuận thuần từ hoạt động kinh doanh,268,127,333,371,"2,141"
12. Thu nhập khác,14,4,6,3,12
13. Chi phí khác,18,4,9,-2,10
14. Lợi nhuận khác,-4,0,-3,5,1
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,13,13,9,-3,140
15. Tổng lợi nhuận kế toán trước thuế,276,141,339,373,"2,282"
16. Chi phí thuế TNDN hiện hành,32,15,24,26,74
17. Chi phí thuế TNDN hoãn lại,-10,1,-6,23,-18
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,255,124,321,323,"2,227"
Lợi ích của cổ đông thiểu số,77,28,81,87,165
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,178,97,240,237,"2,062"
19. Lãi cơ bản trên cổ phiếu (*),0,199,494,487,"4,192"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
