MSN,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
V. Đầu tư tài chính dài hạn,"11,660","11,968","12,241","12,565","12,911"
1. Đầu tư vào công ty con,,,,,
2. Đầu tư vào công ty liên kết. liên doanh,"11,639","11,947","12,219","12,544","12,891"
3. Đầu tư góp vốn vào đơn vị khác,22,22,22,22,22
4. Dự phòng đầu tư tài chính dài hạn (*),-1,-1,-2,,
5. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
6. Đầu tư dài hạn khác,,,,,
VI. Tài sản dài hạn khác,"3,682","3,729","3,927","3,879","3,895"
1. Chi phí trả trước dài hạn,"2,654","2,734","2,870","2,843","2,895"
2. Tài sản thuế thu nhập hoãn lại,227,222,313,320,312
"3. Thiết bị, vật tư, phụ tùng thay thế dài hạn",,,,,
4. Tài sản dài hạn khác,,,,,
5. Lợi thế thương mại,801,773,745,716,688
VII. Lợi thế thương mại (áp dụng trước năm 2015),,,,,
TỔNG CỘNG TÀI SẢN,"68,450","73,179","73,039","67,604","65,478"
NGUỒN VỐN,,,,,
A. NỢ PHẢI TRẢ,"45,322","49,828","52,726","47,028","41,507"
I. Nợ ngắn hạn,"13,407","15,910","17,898","12,322","13,493"
1. Phải trả người bán ngắn hạn,"2,352","2,200","2,427","1,796","2,068"
2. Người mua trả tiền trước ngắn hạn,122,125,87,281,206
3. Thuế và các khoản phải nộp Nhà nước,353,366,546,247,297
4. Phải trả người lao động,256,268,204,98,40
5. Chi phí phải trả ngắn hạn,"2,780","3,204","3,456","2,694","2,472"
6. Phải trả nội bộ ngắn hạn,,,,,
7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,
8. Doanh thu chưa thực hiện ngắn hạn,,,,,
9. Phải trả ngắn hạn khác,105,82,"2,528",157,158
10. Vay và nợ thuê tài chính ngắn hạn,"7,407","9,633","8,618","7,016","8,221"
11. Dự phòng phải trả ngắn hạn,,,,,
"12. Quỹ khen thưởng, phúc lợi",33,31,31,31,31
13. Quỹ bình ổn giá,,,,,
14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,
II. Nợ dài hạn,"31,915","33,918","34,828","34,706","28,014"
1. Phải trả người bán dài hạn,68,68,88,79,79
2. Người mua trả tiền trước dài hạn,29,27,,,
3. Chi phí phải trả dài hạn,15,23,37,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,,,,,
7. Phải trả dài hạn khác,33,34,31,,
8. Vay và nợ thuê tài chính dài hạn,"29,525","31,538","32,472","32,490","25,816"
9. Trái phiếu chuyển đổi,"1,546",,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,"1,635","1,605","1,574","1,518",
12. Dự phòng phải trả dài hạn,639,650,625,563,574
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"23,128","23,351","20,313","20,576","23,971"
I. Vốn chủ sở hữu,"23,128","23,351","20,313","20,576","23,971"
1. Vốn góp của chủ sở hữu,"7,561","7,561","7,681","11,475","11,475"
- Cổ phiếu phổ thông có quyền biểu quyết,"7,561","7,561","7,681","11,475","11,475"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"9,631","9,631","10,650","6,856","6,856"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,"-9,427","-9,427","-9,427","-9,427","-9,427"
5. Cổ phiếu quỹ (*),-403,-641,-641,-641,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,-1,-2,-2,1,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,,,,,
11. Lợi nhuận sau thuế chưa phân phối,"7,934","8,460","7,016","7,253","10,000"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"8,561","8,561","7,014","7,016","7,016"
- LNST chưa phân phối kỳ này,-627,-101,1,237,"2,985"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"7,429","7,530","5,036","5,062","5,708"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"68,450","73,179","73,039","67,604","65,478"
