MSN,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"1,539","1,455","2,906","1,605","2,402"
2. Các khoản giảm trừ doanh thu,27,47,95,68,31
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"1,513","1,407","2,811","1,538","2,371"
4. Giá vốn hàng bán,900,784,"1,557",978,"1,375"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,613,623,"1,253",559,996
6.Doanh thu hoạt động tài chính,283,400,312,362,275
7. Chi phí tài chính,55,118,35,117,71
Trong đó :Chi phí lãi vay,0,0,0,,
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,209,232,391,224,298
10. Chi phí quản lý doanh nghiệp,98,81,166,113,98
11. Lợi nhuận thuần từ hoạt động kinh doanh,533,591,973,466,804
12. Thu nhập khác,0,8,7,5,16
13. Chi phí khác,2,12,6,9,5
14. Lợi nhuận khác,-2,-4,1,-4,11
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,5,47,299,92,-6
15. Tổng lợi nhuận kế toán trước thuế,537,634,"1,273",554,809
16. Chi phí thuế TNDN hiện hành,104,107,25,75,93
17. Chi phí thuế TNDN hoãn lại,-2,-21,114,29,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,435,548,"1,134",450,715
Lợi ích của cổ đông thiểu số,123,126,239,100,157
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,313,422,895,350,558
19. Lãi cơ bản trên cổ phiếu (*),606,631,"1,330",516,876
20. Lãi suy giảm trên cổ phiếu (*),,,,,
