MSN,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"11,889","8,476","9,623","9,324","11,396"
2. Các khoản giảm trừ doanh thu,331,316,372,356,420
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"11,558","8,160","9,250","8,968","10,976"
4. Giá vốn hàng bán,"8,019","5,697","6,583","6,536","7,596"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,539","2,463","2,667","2,432","3,379"
6.Doanh thu hoạt động tài chính,143,72,87,791,238
7. Chi phí tài chính,678,529,557,595,520
Trong đó :Chi phí lãi vay,539,454,451,492,469
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",484,447,533,552,650
9. Chi phí bán hàng,"1,405",813,956,"1,063","1,163"
10. Chi phí quản lý doanh nghiệp,632,490,486,472,655
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,451","1,150","1,289","1,645","1,930"
12. Thu nhập khác,,2,1,"1,220",103
13. Chi phí khác,11,10,14,197,12
14. Lợi nhuận khác,-11,-9,-13,"1,022",92
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,439","1,141","1,275","2,667","2,021"
16. Chi phí thuế TNDN hiện hành,233,152,115,276,248
17. Chi phí thuế TNDN hoãn lại,-79,-11,-31,-34,25
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,285","1,000","1,192","2,425","1,748"
Lợi ích của cổ đông thiểu số,148,134,175,197,300
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,138",865,"1,016","2,228","1,448"
19. Lãi cơ bản trên cổ phiếu (*),979,744,873,"1,916","1,239"
20. Lãi suy giảm trên cổ phiếu (*),,,,,
