GVR,Q1/2017,Q2/2017,Q3/2017,Q1/2018,Q3/2018
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/01-31/03,01/07-30/09
Hợp nhất,Công ty mẹ,Công ty mẹ,Công ty mẹ,Công ty mẹ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,96,93,166,65,"4,851"
2. Các khoản giảm trừ doanh thu,,,,,4
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,96,93,166,65,"4,847"
4. Giá vốn hàng bán,87,72,148,58,"3,879"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,9,21,18,7,968
6.Doanh thu hoạt động tài chính,32,541,211,8,171
7. Chi phí tài chính,2,-4,-2,0,186
Trong đó :Chi phí lãi vay,,7,,0,139
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,62
9. Chi phí bán hàng,0,0,0,0,115
10. Chi phí quản lý doanh nghiệp,31,57,43,41,317
11. Lợi nhuận thuần từ hoạt động kinh doanh,9,508,188,-27,582
12. Thu nhập khác,1,2,1,1,57
13. Chi phí khác,,,,,23
14. Lợi nhuận khác,1,2,1,1,34
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,10,511,189,-25,616
16. Chi phí thuế TNDN hiện hành,1,3,-2,,115
17. Chi phí thuế TNDN hoãn lại,,,,,12
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,10,508,191,-25,488
Lợi ích của cổ đông thiểu số,,,,,32
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,10,508,191,-25,456
19. Lãi cơ bản trên cổ phiếu (*),,,,,114
20. Lãi suy giảm trên cổ phiếu (*),,,,,114
