GVR,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"7,813","3,416","4,200","5,337","7,132"
2. Các khoản giảm trừ doanh thu,7,2,2,3,7
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"7,806","3,414","4,198","5,334","7,125"
4. Giá vốn hàng bán,"6,008","2,781","3,413","3,942","5,267"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,797",633,784,"1,392","1,858"
6.Doanh thu hoạt động tài chính,334,102,206,147,261
7. Chi phí tài chính,418,135,189,187,231
Trong đó :Chi phí lãi vay,232,130,166,147,194
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",67,45,129,103,76
9. Chi phí bán hàng,180,80,93,118,138
10. Chi phí quản lý doanh nghiệp,562,283,327,391,581
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,039",280,509,946,"1,246"
12. Thu nhập khác,"1,403",144,381,524,906
13. Chi phí khác,83,15,28,53,167
14. Lợi nhuận khác,"1,320",129,353,470,739
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"2,359",409,863,"1,417","1,985"
16. Chi phí thuế TNDN hiện hành,514,109,168,243,340
17. Chi phí thuế TNDN hoãn lại,-19,-14,-49,-45,-37
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,863",315,744,"1,219","1,682"
Lợi ích của cổ đông thiểu số,399,106,108,239,219
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,464",209,636,980,"1,463"
19. Lãi cơ bản trên cổ phiếu (*),366,52,159,245,366
20. Lãi suy giảm trên cổ phiếu (*),366,52,159,245,366
