GVR,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"7,607","4,590","4,623","7,717","9,318"
2. Các khoản giảm trừ doanh thu,16,5,1,1,18
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"7,591","4,585","4,622","7,716","9,301"
4. Giá vốn hàng bán,"5,988","3,509","3,450","6,120","6,225"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"1,603","1,076","1,173","1,596","3,076"
6.Doanh thu hoạt động tài chính,351,227,235,226,378
7. Chi phí tài chính,131,111,115,91,103
Trong đó :Chi phí lãi vay,115,94,81,81,186
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",85,-6,59,5,104
9. Chi phí bán hàng,218,113,103,150,186
10. Chi phí quản lý doanh nghiệp,667,363,415,511,837
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,023",709,833,"1,075","2,432"
12. Thu nhập khác,753,123,418,324,500
13. Chi phí khác,104,53,67,92,224
14. Lợi nhuận khác,649,70,351,232,275
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,672",778,"1,183","1,306","2,707"
16. Chi phí thuế TNDN hiện hành,286,134,182,241,415
17. Chi phí thuế TNDN hoãn lại,-30,-6,7,-55,-106
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,416",650,995,"1,121","2,398"
Lợi ích của cổ đông thiểu số,252,174,131,177,425
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,164",476,864,944,"1,973"
19. Lãi cơ bản trên cổ phiếu (*),291,119,216,236,493
20. Lãi suy giảm trên cổ phiếu (*),,,,,493
