LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q3/2014,Q1/2015,Q3/2015,Q4/2015,Q1/2016
Giai đoạn,01/07-30/09,01/01-31/03,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Hợp nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,201","1,252","3,726","4,470","1,226"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,153,156,479,635,141
Các khoản dự phòng,31,,4,23,7
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,,
"Lãi, lỗ từ hoạt động đầu tư",-252,-123,-552,-820,-107
Chi phí lãi vay,24,21,59,77,16
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,157","1,306","3,715","4,385","1,283"
"Tăng, giảm các khoản phải thu",-82,-92,-295,-105,238
"Tăng, giảm hàng tồn kho",60,-4,-1,-85,457
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-576,-968,-26,-775,-594
"Tăng, giảm chi phí trả trước",9,42,186,274,52
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,14,-18,-55,-80,-18
Thuế thu nhập doanh nghiệp đã nộp,-281,-305,-826,"-1,212",-247
Tiền thu khác từ hoạt động kinh doanh,37,16,85,,20
Tiền chi khác cho hoạt động kinh doanh,55,-10,-59,-244,-17
Lưu chuyển tiền thuần từ hoạt động kinh doanh,394,-33,"2,725","2,158","1,175"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-152,-81,-263,-309,-43
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",-83,,2,4,47
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,266,137,-474,-636
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,,248,569,250
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,-147,-118,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,13,26,65,4
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",-103,118,321,645,44
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,-681,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,659,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-360,317,324,383,-334
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,7,
3. Tiền thu từ đi vay,962,704,"1,706","2,905",972
4. Tiền trả nợ gốc vay,-933,-798,"-2,229","-2,593",-901
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-49,,"-1,603","-1,679",
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,-20,-93,"-2,126","-1,359",71
Lưu chuyển tiền thuần trong kỳ,13,191,923,"1,181",912
Tiền và tương đương tiền đầu kỳ,"1,441","6,755","6,755","7,678","7,936"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"1,455","6,946","7,678","7,936","8,848"
