LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,136","1,584","1,872","1,801","1,429"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,161,159,159,159,169
Các khoản dự phòng,265,-20,15,-20,383
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",,,,,1
"Lãi, lỗ từ hoạt động đầu tư",-260,-248,-118,-498,-376
Chi phí lãi vay,8,8,6,6,18
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,30,,-167,167,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,340","1,483","1,766","1,616","1,625"
"Tăng, giảm các khoản phải thu",-71,18,72,32,-26
"Tăng, giảm hàng tồn kho",294,-263,534,-242,-138
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",683,-554,67,23,476
"Tăng, giảm chi phí trả trước",74,68,86,62,2
"Tăng, giảm chứng khoán kinh doanh",,,,-20,20
Tiền lãi vay đã trả,-9,-8,-6,-911,888
Thuế thu nhập doanh nghiệp đã nộp,-253,-325,-313,638,"-1,399"
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-32,-40,-210,-6,-9
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"2,026",378,"1,996","1,193","1,438"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-90,-27,-26,-35,-182
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1,2,,2,1
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác","-3,680","-1,008","-4,168","-3,811","-5,274"
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác","4,003","1,056","2,617","1,652","4,055"
5. Tiền chi đầu tư góp vốn vào đơn vị khác,,,,-82,82
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,28,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",292,103,284,223,345
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,82
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,554,126,"-1,293","-2,051",-892
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,771,836,702,736,962
4. Tiền trả nợ gốc vay,-867,-836,-965,-573,-972
5. Tiền trả nợ gốc thuê tài chính,,-26,26,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","-2,245",,-109,"-1,021",-7
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-2,341",-26,-346,-859,-17
Lưu chuyển tiền thuần trong kỳ,239,478,358,"-1,717",529
Tiền và tương đương tiền đầu kỳ,"4,228","4,467","4,946","5,304","3,587"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,,,,
Tiền và tương đương tiền cuối kỳ,"4,467","4,946","5,304","3,587","4,116"
