CTG,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"13,683","14,867","15,127","14,351","13,057"
2. Chi phí lãi và các chi phí tương tự,"8,589","9,510","9,782","9,992","8,377"
I. Thu nhập lãi thuần,"5,095","5,357","5,345","4,359","4,680"
3. Thu nhập từ hoạt động dịch vụ,437,382,507,404,423
4. Chi phí hoạt động dịch vụ,167,387,155,105,136
II. Lãi/lỗ thuần từ hoạt động dịch vụ,270,-5,351,299,286
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,119,108,-14,116,70
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,1,17,9,12,17
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,3,-77,-64,5,44
5. Thu nhập từ hoạt động khác,439,466,456,226,409
6. Chi phí hoạt động khác,107,191,140,34,69
VI. Lãi/lỗ thuần từ hoạt động khác,333,275,316,193,341
"VII. Thu nhập từ góp vốn, mua cổ phần",66,36,66,57,41
VIII. Chi phí hoạt động,"3,745","3,177",895,"2,178","3,198"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,141","2,534","5,116","2,862","2,282"
X. Chi phí dự phòng rủi ro tín dụng,-611,471,"2,707",845,"1,482"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,752","2,063","2,409","2,017",800
7. Chi phí thuế TNDN hiện hành,759,480,631,476,186
8. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
XII. Chi phí thuế TNDN,759,480,631,476,186
XIII. Lợi nhuận sau thuế (XI-XII),"1,993","1,582","1,779","1,540",614
XIV. Lợi ích của cổ đông thiểu số,3,3,8,6,5
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,990","1,579","1,771","1,535",609
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
