CTG,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","7,358","8,172","8,129","9,930","8,512"
II. Tiền gửi tại NHNN,"25,157","12,878","17,214","57,617","10,213"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","126,351","130,011","128,658","102,533","139,620"
"1. Tiền, vàng gửi tại các TCTD khác","121,607","126,128","121,874","92,628","130,670"
2. Cho vay các TCTD khác,"4,744","3,883","6,784","9,905","8,951"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"1,063","1,720","3,486","5,602","1,715"
1. Chứng khoán kinh doanh,"1,403","1,940","3,730","5,723","1,795"
2. Dự phòng giảm giá chứng khoán kinh doanh,-340,-220,-244,-121,-80
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,461,587,137,"2,494",
VI. Cho vay khách hàng,"910,544","928,563","942,889","1,002,771","1,003,228"
1. Cho vay và cho thuê tài chính khách hàng,"923,623","941,488","958,011","1,015,333","1,017,140"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-13,079","-12,924","-15,122","-12,562","-13,912"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"104,957","108,755","110,487","114,942","124,272"
1. Chứng khoán đầu tư sẵn sàng để bán,"98,084","103,401","104,997","112,678","122,126"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"12,244","9,260","9,290","2,617","2,617"
3. Dự phòng giảm giá chứng khoán đầu tư,"-5,371","-3,906","-3,799",-353,-471
"VIII. Góp vốn, đầu tư dài hạn","3,444","3,123","3,201","3,321","3,470"
1. Đầu tư vào công ty con,,,,,
