CTG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","7,028","7,160","7,557","9,127","8,283"
II. Tiền gửi tại NHNN,"23,182","32,079","31,819","23,707","24,874"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","130,562","110,916","120,540","124,579","129,315"
"1. Tiền, vàng gửi tại các TCTD khác","126,467","107,952","116,863","120,226","123,011"
2. Cho vay các TCTD khác,"4,095","2,964","3,677","4,353","6,304"
3. Dự phòng rủi ro cho vay các TCTD khác,0,,,,
IV. Chứng khoán kinh doanh,"3,250","4,874","8,176","6,157","3,825"
1. Chứng khoán kinh doanh,"3,380","4,970","8,329","6,335","4,051"
2. Dự phòng giảm giá chứng khoán kinh doanh,-130,-96,-153,-179,-226
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,281,318,275,166,470
VI. Cho vay khách hàng,"851,921","845,319","872,517","882,447","922,330"
1. Cho vay và cho thuê tài chính khách hàng,"864,926","861,590","885,535","899,056","935,271"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-13,005","-16,271","-13,018","-16,610","-12,941"
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"101,948","96,965","93,220","107,800","104,615"
1. Chứng khoán đầu tư sẵn sàng để bán,"88,416","83,506","83,447","97,944","97,131"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"16,228","16,239","16,014","16,014","15,368"
3. Dự phòng giảm giá chứng khoán đầu tư,"-2,696","-2,780","-6,241","-6,157","-7,885"
"VIII. Góp vốn, đầu tư dài hạn","3,310","3,572","3,384","3,364","3,352"
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,900","3,017","3,017","3,017","3,017"
3. Đầu tư dài hạn khác,413,557,368,348,335
4. Dự phòng giảm giá đầu tư dài hạn,-2,-2,-1,-1,
IX. Tài sản cố định,"11,115","10,923","10,513","10,246","10,997"
