CTG,Q3/2012,Q4/2012,Q1/2013,Q2/2013,Q3/2013
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"11,410","11,845","11,671","11,304","10,791"
2. Chi phí lãi và các chi phí tương tự,"6,730","7,143","7,025","6,619","6,162"
I. Thu nhập lãi thuần,"4,680","4,702","4,646","4,685","4,630"
3. Thu nhập từ hoạt động dịch vụ,397,510,434,511,570
4. Chi phí hoạt động dịch vụ,147,180,130,145,148
II. Lãi/lỗ thuần từ hoạt động dịch vụ,250,330,304,366,421
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,86,83,98,-19,103
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,3,2,5,6,8
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-3,475,-4,94,2
5. Thu nhập từ hoạt động khác,389,565,267,366,794
6. Chi phí hoạt động khác,123,74,83,164,102
VI. Lãi/lỗ thuần từ hoạt động khác,266,491,184,202,692
"VII. Thu nhập từ góp vốn, mua cổ phần",340,-262,50,59,49
VIII. Chi phí hoạt động,"1,666","2,375","2,567","2,085","2,199"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,956","3,447","2,716","3,308","3,707"
X. Chi phí dự phòng rủi ro tín dụng,466,"1,551","1,346",483,797
XI. Tổng lợi nhuận trước thuế (IX-X),"3,490","1,896","1,370","2,826","2,910"
7. Chi phí thuế TNDN hiện hành,778,546,327,697,720
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,778,546,327,697,720
XIII. Lợi nhuận sau thuế (XI-XII),"2,712","1,351","1,042","2,129","2,190"
XIV. Lợi ích của cổ đông thiểu số,4,4,3,5,3
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,708","1,347","1,040","2,124","2,187"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
