CTG,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","8,952","9,844","11,331","9,732","9,829"
II. Tiền gửi tại NHNN,"37,858","27,799","23,383","19,946","25,161"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","152,896","112,616","149,265","177,089","188,405"
"1. Tiền, vàng gửi tại các TCTD khác","139,831","94,736","129,748","153,982","168,069"
2. Cho vay các TCTD khác,"13,065","17,880","19,517","23,108","20,336"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"3,376","3,932","2,475","4,169","1,255"
1. Chứng khoán kinh doanh,"3,455","4,084","2,523","4,256","1,275"
2. Dự phòng giảm giá chứng khoán kinh doanh,-79,-152,-47,-87,-21
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,"1,441","1,312","1,455","3,329","7,482"
VI. Cho vay khách hàng,"1,057,905","1,063,142","1,104,873","1,199,357","1,206,862"
1. Cho vay và cho thuê tài chính khách hàng,"1,076,581","1,084,606","1,130,668","1,229,579","1,238,483"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-18,676","-21,464","-25,795","-30,222","-31,621"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"153,324","169,797","177,545","182,530","178,071"
1. Chứng khoán đầu tư sẵn sàng để bán,"151,148","167,390","174,973","180,142","175,494"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"2,617","2,617","2,697","2,697","2,697"
3. Dự phòng giảm giá chứng khoán đầu tư,-441,-210,-126,-309,-120
"VIII. Góp vốn, đầu tư dài hạn","3,152","3,221","3,290","3,410","3,501"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,935","3,005","3,073","3,197","3,117"
3. Đầu tư dài hạn khác,241,241,241,234,405
4. Dự phòng giảm giá đầu tư dài hạn,-24,-24,-24,-21,-21
IX. Tài sản cố định,"10,424","10,251","10,496","10,274","10,123"
1. Tài sản cố định hữu hình,"6,100","5,986","6,193","6,035","5,913"
a. Nguyên giá TSCĐ,"15,465","15,509","15,773","15,765","15,755"
b. Hao mòn TSCĐ,"-9,365","-9,523","-9,580","-9,730","-9,843"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,325","4,265","4,303","4,238","4,210"
a. Nguyên giá TSCĐ,"6,449","6,454","6,628","6,626","6,666"
b. Hao mòn TSCĐ,"-2,124","-2,189","-2,324","-2,388","-2,456"
X. Bất động sản đầu tư,,,,,
a. Nguyên giá BĐSĐT,,,,,
b. Hao mòn BĐSĐT,,,,,
"XI. Tài sản ""Có"" khác","43,695","45,894","47,355","53,893","60,374"
1. Các khoản phải thu,"30,868","32,918","34,169","39,960","46,653"
"2. Các khoản lãi, phí phải thu","9,695","9,552","9,854","10,645","10,499"
3. Tài sản thuế TNDN hoãn lại,0,0,0,,
4. Tài sản Có khác,"3,204","3,497","3,403","3,358","3,292"
- Trong đó: Lợi thế thương mại,,,,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-72,-72,-71,-71,-70
