CTG,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"27,098","30,362","32,760","34,117","32,838"
2. Chi phí lãi và các chi phí tương tự,"14,174","17,514","20,094","21,359","19,750"
I. Thu nhập lãi thuần,"12,924","12,848","12,666","12,757","13,087"
3. Thu nhập từ hoạt động dịch vụ,"2,972","3,653","3,341","2,902","2,836"
4. Chi phí hoạt động dịch vụ,"1,507","1,867","1,341","1,118","1,021"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,465","1,786","2,001","1,784","1,815"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,843,"1,130","1,173","1,177","1,135"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-136,-10,28,202,-20
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-105,70,15,2,-13
5. Thu nhập từ hoạt động khác,"2,596","1,404","1,206","2,076","1,735"
6. Chi phí hoạt động khác,358,27,186,298,326
VI. Lãi/lỗ thuần từ hoạt động khác,"2,238","1,377","1,020","1,778","1,410"
"VII. Thu nhập từ góp vốn, mua cổ phần",94,45,116,72,-22
VIII. Chi phí hoạt động,"4,847","6,363","4,314","4,743","5,082"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"12,477","10,882","12,704","13,029","12,311"
X. Chi phí dự phòng rủi ro tín dụng,"8,321","5,533","6,724","6,478","7,440"
XI. Tổng lợi nhuận trước thuế (IX-X),"4,157","5,349","5,980","6,550","4,871"
7. Chi phí thuế TNDN hiện hành,837,"1,075","1,149","1,287",976
8. Chi phí thuế TNDN hoãn lại,,0,,,
XII. Chi phí thuế TNDN,837,"1,076","1,149","1,287",976
XIII. Lợi nhuận sau thuế (XI-XII),"3,320","4,274","4,831","5,264","3,895"
XIV. Lợi ích của cổ đông thiểu số,-19,13,25,60,32
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"3,338","4,260","4,806","5,203","3,863"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
