CTG,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","10,642","11,067","10,510","10,174","9,469"
II. Tiền gửi tại NHNN,"14,379","29,727","22,480","23,584","34,735"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","238,664","243,099","207,791","230,783","254,955"
"1. Tiền, vàng gửi tại các TCTD khác","210,979","223,094","189,864","210,462","232,233"
2. Cho vay các TCTD khác,"27,685","20,005","17,927","20,321","22,722"
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"1,175","1,420","1,146","1,442","1,568"
1. Chứng khoán kinh doanh,"1,330","1,623","1,369","1,622","1,770"
2. Dự phòng giảm giá chứng khoán kinh doanh,-155,-203,-223,-181,-202
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,"6,466","3,078","2,157","1,371",
VI. Cho vay khách hàng,"1,205,989","1,245,058","1,303,639","1,330,129","1,353,619"
1. Cho vay và cho thuê tài chính khách hàng,"1,245,239","1,274,822","1,333,109","1,359,357","1,386,280"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-39,249","-29,764","-29,470","-29,228","-32,661"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"187,035","180,313","200,465","193,232","163,428"
1. Chứng khoán đầu tư sẵn sàng để bán,"185,475","178,685","198,828","192,015","162,252"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,697","1,697","1,697","1,267","1,267"
3. Dự phòng giảm giá chứng khoán đầu tư,-137,-69,-60,-50,-91
"VIII. Góp vốn, đầu tư dài hạn","3,485","3,586","3,547","3,270","3,287"
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết","3,272","3,303","3,331","3,053","3,071"
3. Đầu tư dài hạn khác,234,303,234,234,234
4. Dự phòng giảm giá đầu tư dài hạn,-21,-19,-18,-18,-18
IX. Tài sản cố định,"10,008","10,202","10,057","9,868","9,767"
1. Tài sản cố định hữu hình,"5,847","6,047","5,967","5,843","5,792"
a. Nguyên giá TSCĐ,"15,849","16,191","16,275","16,303","16,407"
b. Hao mòn TSCĐ,"-10,002","-10,143","-10,309","-10,460","-10,615"
2. Tài sản cố định thuê tài chính,,,,,
a. Nguyên giá TSCĐ,,,,,
b. Hao mòn TSCĐ,,,,,
3. Tài sản cố định vô hình,"4,160","4,155","4,091","4,025","3,975"
a. Nguyên giá TSCĐ,"6,681","6,779","6,781","6,779","6,797"
