CTG,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"18,820","19,659","20,297","20,873","21,915"
2. Chi phí lãi và các chi phí tương tự,"18,247","11,709","12,069","12,543","13,222"
I. Thu nhập lãi thuần,572,"7,950","8,227","8,330","8,692"
3. Thu nhập từ hoạt động dịch vụ,"1,737","1,706","1,936","1,861","2,384"
4. Chi phí hoạt động dịch vụ,953,736,950,770,"1,376"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,784,969,986,"1,092","1,009"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,170,414,373,402,376
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-112,131,5,176,54
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,122,-83,-63,23,-572
5. Thu nhập từ hoạt động khác,702,406,660,518,994
6. Chi phí hoạt động khác,153,257,465,261,96
VI. Lãi/lỗ thuần từ hoạt động khác,548,149,196,257,898
"VII. Thu nhập từ góp vốn, mua cổ phần",37,101,314,96,117
VIII. Chi phí hoạt động,"3,558","3,238","3,619","3,753","5,130"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"-1,436","6,394","6,418","6,623","5,444"
X. Chi phí dự phòng rủi ro tín dụng,-583,"3,242","4,236","3,502","2,120"
XI. Tổng lợi nhuận trước thuế (IX-X),-853,"3,153","2,182","3,121","3,324"
7. Chi phí thuế TNDN hiện hành,-155,603,419,605,658
8. Chi phí thuế TNDN hoãn lại,0,11,-6,0,12
XII. Chi phí thuế TNDN,-155,614,414,604,670
XIII. Lợi nhuận sau thuế (XI-XII),-698,"2,539","1,768","2,517","2,654"
XIV. Lợi ích của cổ đông thiểu số,-11,11,2,6,-1
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),-687,"2,528","1,767","2,511","2,655"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
