CTG,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"10,530","10,277","10,318","10,286","10,195"
2. Chi phí lãi và các chi phí tương tự,"6,196","6,053","5,823","5,776","5,843"
I. Thu nhập lãi thuần,"4,333","4,224","4,495","4,509","4,352"
3. Thu nhập từ hoạt động dịch vụ,589,550,595,547,712
4. Chi phí hoạt động dịch vụ,154,158,167,300,312
II. Lãi/lỗ thuần từ hoạt động dịch vụ,435,393,428,247,400
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,113,123,72,115,77
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,2,23,37,56,76
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-66,-5,-130,2,-20
5. Thu nhập từ hoạt động khác,505,559,448,329,"2,407"
6. Chi phí hoạt động khác,111,370,320,151,"1,288"
VI. Lãi/lỗ thuần từ hoạt động khác,394,190,128,178,"1,119"
"VII. Thu nhập từ góp vốn, mua cổ phần",16,41,54,49,23
VIII. Chi phí hoạt động,"3,056","2,505","1,976","2,773","2,795"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"2,171","2,483","3,108","2,383","3,232"
X. Chi phí dự phòng rủi ro tín dụng,"1,465","1,025",693,775,"1,409"
XI. Tổng lợi nhuận trước thuế (IX-X),706,"1,458","2,415","1,607","1,822"
7. Chi phí thuế TNDN hiện hành,203,318,531,356,371
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,203,318,531,356,371
XIII. Lợi nhuận sau thuế (XI-XII),502,"1,140","1,884","1,251","1,451"
XIV. Lợi ích của cổ đông thiểu số,4,4,2,4,5
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),498,"1,136","1,882","1,248","1,447"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
