CTG,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","6,376","5,980","6,459","8,081","6,945"
II. Tiền gửi tại NHNN,"21,320","20,757","14,179","4,381","7,991"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","92,537","107,505","104,458","82,064","103,957"
"1. Tiền, vàng gửi tại các TCTD khác","90,266","101,933","99,423","78,417","101,774"
2. Cho vay các TCTD khác,"2,270","5,572","5,035","3,647","2,184"
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,,,
IV. Chứng khoán kinh doanh,"9,007","3,529","4,331","3,114","1,772"
1. Chứng khoán kinh doanh,"9,065","3,602","4,355","3,167","1,844"
2. Dự phòng giảm giá chứng khoán kinh doanh,-58,-73,-24,-53,-72
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,346,529,652,0,104
VI. Cho vay khách hàng,"753,887","782,385","816,310","855,081","875,799"
1. Cho vay và cho thuê tài chính khách hàng,"763,163","790,688","826,357","867,566","891,617"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-9,276","-8,303","-10,047","-12,485","-15,818"
VII. Hoạt động mua nợ,0,0,,,
1. Mua nợ,0,0,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,0,,,
VII. Chứng khoán đầu tư,"134,021","128,390","118,457","137,511","124,180"
1. Chứng khoán đầu tư sẵn sàng để bán,"128,894","125,757","116,258","135,337","121,913"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"10,805","5,133","2,727","2,651","2,771"
3. Dự phòng giảm giá chứng khoán đầu tư,"-5,677","-2,500",-528,-477,-504
"VIII. Góp vốn, đầu tư dài hạn","3,239","3,114","3,215","3,142","3,277"
1. Đầu tư vào công ty con,0,0,,,
"2. Đầu tư vào công ty liên doanh, liên kết","2,812","2,704","2,805","2,731","2,866"
3. Đầu tư dài hạn khác,430,413,413,413,413
4. Dự phòng giảm giá đầu tư dài hạn,-3,-3,-3,-2,-2
IX. Tài sản cố định,"10,275","11,437","11,262","11,214","11,066"
1. Tài sản cố định hữu hình,"6,113","6,387","6,254","6,212","6,118"
a. Nguyên giá TSCĐ,"12,827","13,310","13,404","13,555","13,657"
b. Hao mòn TSCĐ,"-6,714","-6,924","-7,150","-7,342","-7,540"
2. Tài sản cố định thuê tài chính,0,0,,,
a. Nguyên giá TSCĐ,0,0,,,
b. Hao mòn TSCĐ,0,0,,,
3. Tài sản cố định vô hình,"4,162","5,050","5,008","5,002","4,948"
a. Nguyên giá TSCĐ,"5,300","6,320","6,332","6,390","6,391"
