CTG,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"21,512","20,353","20,793","21,024","21,096"
2. Chi phí lãi và các chi phí tương tự,"13,093","12,555","11,715","10,737","10,453"
I. Thu nhập lãi thuần,"8,418","7,798","9,078","10,287","10,642"
3. Thu nhập từ hoạt động dịch vụ,"1,924","1,948","2,033","2,437","2,222"
4. Chi phí hoạt động dịch vụ,865,845,976,"1,314",939
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,059","1,102","1,057","1,123","1,283"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,393,644,477,486,340
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,263,126,9,203,177
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,165,-29,106,119,-110
5. Thu nhập từ hoạt động khác,429,475,919,877,652
6. Chi phí hoạt động khác,153,280,237,154,214
VI. Lãi/lỗ thuần từ hoạt động khác,275,195,682,723,439
"VII. Thu nhập từ góp vốn, mua cổ phần",111,139,101,169,151
VIII. Chi phí hoạt động,"3,318","3,282","3,749","5,713","3,512"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"7,367","6,693","7,762","7,396","9,410"
X. Chi phí dự phòng rủi ro tín dụng,"4,393","2,207","4,858",690,"1,350"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,974","4,486","2,904","6,706","8,060"
7. Chi phí thuế TNDN hiện hành,595,855,565,"1,302","1,582"
8. Chi phí thuế TNDN hoãn lại,-26,20,-3,20,7
XII. Chi phí thuế TNDN,570,875,562,"1,322","1,589"
XIII. Lợi nhuận sau thuế (XI-XII),"2,405","3,610","2,342","5,384","6,471"
XIV. Lợi ích của cổ đông thiểu số,-10,39,5,28,10
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,414","3,572","2,337","5,356","6,462"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
