CTG,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"5,906","7,586","8,505","9,902","12,048"
2. Chi phí lãi và các chi phí tương tự,"3,656","4,510","5,496","6,156","7,847"
I. Thu nhập lãi thuần,"2,249","3,076","3,010","3,745","4,201"
3. Thu nhập từ hoạt động dịch vụ,365,402,240,568,460
4. Chi phí hoạt động dịch vụ,49,59,58,90,73
II. Lãi/lỗ thuần từ hoạt động dịch vụ,316,343,181,478,388
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,126,-101,67,69,154
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,12,-4,-55,0,-5
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-7,10,-7,-254,8
5. Thu nhập từ hoạt động khác,92,142,338,996,328
6. Chi phí hoạt động khác,43,22,61,32,58
VI. Lãi/lỗ thuần từ hoạt động khác,49,120,278,964,270
"VII. Thu nhập từ góp vốn, mua cổ phần",1,60,59,-32,67
VIII. Chi phí hoạt động,"1,294","1,999","1,678","2,150","1,938"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,453","1,504","1,855","2,820","3,145"
X. Chi phí dự phòng rủi ro tín dụng,281,532,370,"1,942","1,983"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,171",972,"1,485",878,"1,162"
7. Chi phí thuế TNDN hiện hành,183,340,284,308,165
8. Chi phí thuế TNDN hoãn lại,0,0,-19,0,0
XII. Chi phí thuế TNDN,183,340,265,308,165
XIII. Lợi nhuận sau thuế (XI-XII),988,632,"1,220",570,997
XIV. Lợi ích của cổ đông thiểu số,4,-1,-7,10,1
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),984,634,"1,226",560,996
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
