CTG,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"16,218","17,504","17,611","18,513","19,206"
2. Chi phí lãi và các chi phí tương tự,"9,786","10,349","10,377","11,307","11,699"
I. Thu nhập lãi thuần,"6,432","7,156","7,234","7,207","7,507"
3. Thu nhập từ hoạt động dịch vụ,"1,045","1,391","1,245","1,420","1,553"
4. Chi phí hoạt động dịch vụ,671,819,652,813,766
II. Lãi/lỗ thuần từ hoạt động dịch vụ,374,572,592,607,787
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,164,192,234,124,182
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,138,54,239,-26,178
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-152,-28,80,51,-28
5. Thu nhập từ hoạt động khác,678,"1,317",664,712,826
6. Chi phí hoạt động khác,126,668,307,284,283
VI. Lãi/lỗ thuần từ hoạt động khác,552,648,357,428,543
"VII. Thu nhập từ góp vốn, mua cổ phần",98,86,99,111,120
VIII. Chi phí hoạt động,"3,369","5,026","3,455","3,663","3,581"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"4,238","3,655","5,379","4,839","5,708"
X. Chi phí dự phòng rủi ro tín dụng,"1,820","1,681","2,351","2,601","3,378"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,419","1,974","3,028","2,238","2,330"
7. Chi phí thuế TNDN hiện hành,467,387,581,431,450
8. Chi phí thuế TNDN hoãn lại,,0,6,-6,8
XII. Chi phí thuế TNDN,467,388,587,426,457
XIII. Lợi nhuận sau thuế (XI-XII),"1,952","1,586","2,441","1,812","1,873"
XIV. Lợi ích của cổ đông thiểu số,1,9,12,4,1
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,950","1,578","2,429","1,808","1,871"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
