CTG,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"21,320","20,679","21,537","22,132","25,018"
2. Chi phí lãi và các chi phí tương tự,"10,441","10,808","11,141","11,986","13,046"
I. Thu nhập lãi thuần,"10,879","9,872","10,396","10,146","11,972"
3. Thu nhập từ hoạt động dịch vụ,"2,448","2,180","2,720","2,299","2,850"
4. Chi phí hoạt động dịch vụ,"1,091","1,026","1,562","1,021","1,290"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,357","1,154","1,158","1,278","1,560"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,516,499,457,784,814
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,72,6,241,56,-7
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,22,233,71,-233,239
5. Thu nhập từ hoạt động khác,"1,493",690,"1,690","2,147","1,441"
6. Chi phí hoạt động khác,359,325,220,270,330
VI. Lãi/lỗ thuần từ hoạt động khác,"1,134",365,"1,469","1,878","1,111"
"VII. Thu nhập từ góp vốn, mua cổ phần",104,127,95,161,252
VIII. Chi phí hoạt động,"4,187","3,647","5,832","3,821","4,272"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"9,896","8,609","8,055","10,249","11,668"
X. Chi phí dự phòng rủi ro tín dụng,"7,106","5,548","4,377","4,427","5,883"
XI. Tổng lợi nhuận trước thuế (IX-X),"2,790","3,061","3,678","5,822","5,785"
7. Chi phí thuế TNDN hiện hành,539,595,693,"1,125","1,104"
8. Chi phí thuế TNDN hoãn lại,13,,-1,,
XII. Chi phí thuế TNDN,552,595,692,"1,125","1,104"
XIII. Lợi nhuận sau thuế (XI-XII),"2,239","2,466","2,986","4,698","4,681"
XIV. Lợi ích của cổ đông thiểu số,32,6,65,34,35
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,206","2,460","2,921","4,664","4,645"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
