CTG,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"32,637","30,952","30,138","30,924","32,435"
2. Chi phí lãi và các chi phí tương tự,"18,065","15,778","14,799","15,347","16,123"
I. Thu nhập lãi thuần,"14,572","15,174","15,339","15,578","16,312"
3. Thu nhập từ hoạt động dịch vụ,"3,310","3,092","3,178","3,125","2,841"
4. Chi phí hoạt động dịch vụ,"1,756","1,313","1,292","1,324","1,602"
II. Lãi/lỗ thuần từ hoạt động dịch vụ,"1,554","1,779","1,886","1,801","1,240"
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,763,"1,344","1,186",609,"1,051"
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,83,38,25,16,13
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-158,-106,-34,-202,9
5. Thu nhập từ hoạt động khác,"2,009","1,280","2,127","4,377","3,043"
6. Chi phí hoạt động khác,469,502,"1,040",414,412
VI. Lãi/lỗ thuần từ hoạt động khác,"1,540",778,"1,087","3,963","2,631"
"VII. Thu nhập từ góp vốn, mua cổ phần",121,59,151,151,29
VIII. Chi phí hoạt động,"6,304","4,807","5,074","6,095","6,576"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"12,171","14,259","14,567","15,821","14,710"
X. Chi phí dự phòng rủi ro tín dụng,"4,473","8,049","7,817","9,269","2,464"
XI. Tổng lợi nhuận trước thuế (IX-X),"7,699","6,210","6,750","6,553","12,245"
7. Chi phí thuế TNDN hiện hành,"1,555","1,208","1,341","1,360","2,375"
8. Chi phí thuế TNDN hoãn lại,0,,,,0
XII. Chi phí thuế TNDN,"1,555","1,208","1,341","1,360","2,375"
XIII. Lợi nhuận sau thuế (XI-XII),"6,143","5,003","5,409","5,193","9,871"
XIV. Lợi ích của cổ đông thiểu số,24,44,44,-33,79
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"6,119","4,959","5,365","5,226","9,792"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
