CTG,Q1/2009,Q3/2009,Q4/2009,Q1/2010,Q2/2010
Giai đoạn,01/01-31/03,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,706","4,701","5,435","5,906","7,586"
2. Chi phí lãi và các chi phí tương tự,"3,055","2,613","2,963","3,656","4,510"
I. Thu nhập lãi thuần,"1,651","2,088","2,472","2,249","3,076"
3. Thu nhập từ hoạt động dịch vụ,147,210,309,365,402
4. Chi phí hoạt động dịch vụ,34,42,65,49,59
II. Lãi/lỗ thuần từ hoạt động dịch vụ,113,169,244,316,343
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,39,1,-26,126,-101
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,51,5,12,-4
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-9,-34,15,-7,10
5. Thu nhập từ hoạt động khác,371,601,50,92,142
6. Chi phí hoạt động khác,233,9,35,43,22
VI. Lãi/lỗ thuần từ hoạt động khác,137,592,15,49,120
"VII. Thu nhập từ góp vốn, mua cổ phần",0,85,-64,1,60
VIII. Chi phí hoạt động,725,"1,381","2,146","1,294","1,999"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,206","1,572",514,"1,453","1,504"
X. Chi phí dự phòng rủi ro tín dụng,0,732,-82,281,532
XI. Tổng lợi nhuận trước thuế (IX-X),"1,206",839,596,"1,171",972
7. Chi phí thuế TNDN hiện hành,2,388,-158,183,340
8. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
XII. Chi phí thuế TNDN,2,388,-158,183,340
XIII. Lợi nhuận sau thuế (XI-XII),"1,205",451,755,988,632
XIV. Lợi ích của cổ đông thiểu số,0,12,2,4,-1
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,205",439,752,984,634
Lãi cơ bản trên cổ phiếu (BCTC),0,0,0,0,0
