CTG,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"13,130","13,940","13,646","14,873","16,682"
2. Chi phí lãi và các chi phí tương tự,"7,244","8,001","8,444","8,707","9,363"
I. Thu nhập lãi thuần,"5,886","5,939","5,202","6,166","7,319"
3. Thu nhập từ hoạt động dịch vụ,867,837,931,948,919
4. Chi phí hoạt động dịch vụ,438,443,443,435,522
II. Lãi/lỗ thuần từ hoạt động dịch vụ,428,394,488,512,397
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,122,131,210,268,86
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,-23,41,84,113,65
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,-6,-1,17,-18,71
5. Thu nhập từ hoạt động khác,342,911,548,802,438
6. Chi phí hoạt động khác,315,228,353,147,299
VI. Lãi/lỗ thuần từ hoạt động khác,26,683,195,655,138
"VII. Thu nhập từ góp vốn, mua cổ phần",14,41,91,27,532
VIII. Chi phí hoạt động,"3,012","3,047","4,197","3,114","3,560"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,436","4,181","2,089","4,609","5,048"
X. Chi phí dự phòng rủi ro tín dụng,"1,568","1,968",45,"2,065","2,779"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,868","2,212","2,045","2,544","2,270"
7. Chi phí thuế TNDN hiện hành,377,433,413,505,388
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,377,433,413,505,388
XIII. Lợi nhuận sau thuế (XI-XII),"1,491","1,779","1,631","2,039","1,882"
XIV. Lợi ích của cổ đông thiểu số,3,4,9,7,9
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,488","1,775","1,623","2,032","1,873"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
