CTG,Q1/2009,Q3/2009,Q4/2009,Q1/2010,Q2/2010
Giai đoạn,01/01-31/03,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","2,406","2,268","2,204","2,443","2,788"
II. Tiền gửi tại NHNN,"2,177","3,405","5,300","1,938","4,526"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","21,982","14,840","23,842","25,282","33,655"
"1. Tiền, vàng gửi tại các TCTD khác","21,212","12,747","22,439","23,355","31,376"
2. Cho vay các TCTD khác,770,"2,093","1,404","1,927","2,299"
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,0,-20
IV. Chứng khoán kinh doanh,606,685,299,478,301
1. Chứng khoán kinh doanh,606,688,302,482,325
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,-3,-3,-3,-24
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,60,0,0,19,6
VI. Cho vay khách hàng,"122,275","154,613","161,659","175,033","184,807"
1. Cho vay và cho thuê tài chính khách hàng,"124,739","157,118","163,121","176,703","187,092"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,464","-2,505","-1,462","-1,670","-2,285"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"33,193","36,971","38,708","45,273","54,807"
1. Chứng khoán đầu tư sẵn sàng để bán,"31,620","35,440","35,875","41,482","50,580"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,573","1,531","2,833","3,791","4,227"
3. Dự phòng giảm giá chứng khoán đầu tư,0,0,0,0,0
"VIII. Góp vốn, đầu tư dài hạn",939,"1,282","1,437","1,174","1,477"
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",780,782,"1,005","1,005","1,308"
3. Đầu tư dài hạn khác,159,500,432,169,169
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,0,0
IX. Tài sản cố định,"1,525","2,225","2,873","2,800","3,464"
1. Tài sản cố định hữu hình,"1,228","1,429","1,775","1,699","1,916"
a. Nguyên giá TSCĐ,"2,870","3,272","3,700","3,750","4,067"
b. Hao mòn TSCĐ,"-1,642","-1,843","-1,924","-2,050","-2,152"
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,3,3,1,1,1
b. Hao mòn TSCĐ,-3,-3,-1,-1,-1
3. Tài sản cố định vô hình,297,796,"1,097","1,101","1,548"
a. Nguyên giá TSCĐ,431,"1,360","1,757","1,768","1,800"
b. Hao mòn TSCĐ,-134,-564,-659,-667,-251
X. Bất động sản đầu tư,0,0,0,0,0
a. Nguyên giá BĐSĐT,0,0,0,0,0
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","8,119","10,281","9,089","9,372","8,807"
1. Các khoản phải thu,"4,854","6,177","5,233","4,589","3,329"
"2. Các khoản lãi, phí phải thu","2,547","3,139","2,661","3,522","3,856"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,729,965,"1,197","1,262","1,622"
- Trong đó: Lợi thế thương mại,0,18,17,17,16
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,-11,-1,-1,-1,-1
