VRE,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
B. VỐN CHỦ SỞ HỮU,"30,505","30,529","30,651","31,028","31,802"
I. Vốn chủ sở hữu,"30,505","30,529","30,651","31,028","31,802"
1. Vốn góp của chủ sở hữu,"23,288","23,288","23,288","23,288","23,288"
- Cổ phiếu phổ thông có quyền biểu quyết,"23,288","23,288","23,288","23,288","23,288"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,47,47,47,47,47
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),"-1,954","-1,954","-1,954","-1,954","-1,954"
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,-53,-53,-53,-53,-53
11. Lợi nhuận sau thuế chưa phân phối,"9,142","9,167","9,289","9,666","10,439"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"7,974","7,974","7,974","9,289","9,289"
- LNST chưa phân phối kỳ này,"1,168","1,193","1,315",377,"1,150"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,35,35,35,35,35
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"37,914","37,746","37,873","37,731","38,672"
