LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,"1,439","1,141","1,275","2,667","2,021"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,700,681,698,687,682
Các khoản dự phòng,71,23,27,21,38
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",-10,4,-10,-1,1
"Lãi, lỗ từ hoạt động đầu tư",-605,-502,-584,-646,-673
Chi phí lãi vay,631,488,489,531,503
"Lãi, lỗ từ thanh lý TSCĐ",,,,,
Thu nhập lãi vay và cổ tức,,,,,
Phân bổ lợi thế thương mại,,,,,
Điều chỉnh cho các khoản khác,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"2,225","1,835","1,895","3,260","2,573"
"Tăng, giảm các khoản phải thu",-648,464,-431,"-1,799","1,692"
"Tăng, giảm hàng tồn kho",513,"-1,292",-396,-12,71
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",188,"-1,260","1,172",163,120
"Tăng, giảm chi phí trả trước",-27,-63,-33,-40,151
"Tăng, giảm chứng khoán kinh doanh",,,-37,-105,-331
Tiền lãi vay đã trả,-672,-670,-285,-607,-325
Thuế thu nhập doanh nghiệp đã nộp,-246,-195,-116,-107,-183
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-3,-2,2,,-5
Lưu chuyển tiền thuần từ hoạt động kinh doanh,"1,331","-1,182","1,772",752,"3,763"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-745,"-1,044","-1,246",214,"-1,102"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",1,1,2,7,29
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-234,-727,-6,-157,-276
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",765,370,633,,232
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-18,-168,-4,,"-3,294"
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,,,22,190
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",144,69,76,99,68
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,-87,"-1,499",-545,185,"-4,153"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","10,741",,58,213,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"5,821","6,599","6,704","8,756","8,153"
4. Tiền trả nợ gốc vay,"-18,177","-5,399","-6,138","-7,115","-8,323"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,-24,-128,-238,
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính,"-1,614","1,175",496,"1,616",-170
Lưu chuyển tiền thuần trong kỳ,-370,"-1,506","1,723","2,552",-560
Tiền và tương đương tiền đầu kỳ,"4,955","4,586","3,083","4,814","7,359"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,1,2,8,-7,1
Tiền và tương đương tiền cuối kỳ,"4,586","3,083","4,814","7,359","6,801"
