LƯU CHUYỂN TIỀN TỆ GIÁN TIẾP,Q4/2013,Q1/2014,Q2/2014,Q3/2014,Q4/2014
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Mới nhất,Hợp nhất,Mới nhất,Mới nhất,Mới nhất
Kiểm toán,VST Tính,Chưa kiểm toán,VST Tính,VST Tính,VST Tính
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,
1. Lợi nhuận trước thuế,939,138,98,346,"2,158"
2. Điều chỉnh cho các khoản,,,,,
Khấu hao TSCĐ và BĐSĐT,478,284,423,394,20
Các khoản dự phòng,-335,6,26,,33
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",28,,42,-9,16
"Lãi, lỗ từ hoạt động đầu tư",251,-39,-2,49,"-1,118"
Chi phí lãi vay,200,256,484,347,378
"Lãi, lỗ từ thanh lý TSCĐ",8,3,,9,-6
Thu nhập lãi vay và cổ tức,-392,-136,-105,-73,-91
Phân bổ lợi thế thương mại,-214,,,,
Điều chỉnh cho các khoản khác,58,,,,53
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,"1,021",510,966,"1,063","1,443"
"Tăng, giảm các khoản phải thu",162,-440,-336,-387,961
"Tăng, giảm hàng tồn kho",125,-230,-363,-117,99
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)",-6,723,-152,-293,-964
"Tăng, giảm chi phí trả trước",,,,,202
"Tăng, giảm chứng khoán kinh doanh",,,,,
Tiền lãi vay đã trả,-199,-651,-277,-504,-301
Thuế thu nhập doanh nghiệp đã nộp,-175,-374,-46,-80,-63
Tiền thu khác từ hoạt động kinh doanh,,,,,
Tiền chi khác cho hoạt động kinh doanh,-3,,-51,-4,-1
Lưu chuyển tiền thuần từ hoạt động kinh doanh,925,-463,-259,-322,"1,377"
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-582,"-1,002",77,-437,"-1,347"
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,,1,1,30
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-425,-63,-173,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",-871,"6,506","-6,506",58,-58
5. Tiền chi đầu tư góp vốn vào đơn vị khác,-210,,-287,-153,-734
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,207,,,,56
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",65,163,167,141,-37
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,"-1,081","-5,853","8,808","-2,575","-1,459"
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,
11. Tiền chi khác cho hoạt động đầu tư,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư,"-2,896",-248,"2,086","-2,965","-3,549"
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu","-5,146",29,79,11,388
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,,,,
3. Tiền thu từ đi vay,"8,965","4,668","6,450","4,242","6,482"
4. Tiền trả nợ gốc vay,"-2,182","-5,076","-6,342","-3,359","-2,152"
5. Tiền trả nợ gốc thuê tài chính,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-10,,"-1,298",-37,-274
7. Tiền thu khác từ hoạt động tài chính,,,,,
8. Tiền chi khác cho hoạt động tài chính,-74,,-167,167,
Lưu chuyển tiền thuần từ hoạt động tài chính,"1,552",-379,"-1,278","1,024","4,445"
Lưu chuyển tiền thuần trong kỳ,-419,"-1,090",550,"-2,263","2,272"
Tiền và tương đương tiền đầu kỳ,"6,115","5,699","4,608","5,161","2,897"
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,3,-1,3,,-3
Tiền và tương đương tiền cuối kỳ,"5,699","4,608","5,161","2,897","5,166"
