VHM,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
2. Người mua trả tiền trước dài hạn,,,"4,613",,
3. Chi phí phải trả dài hạn,440,441,612,432,316
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,771,910,696,532,472
7. Phải trả dài hạn khác,"7,770","8,984","8,926","9,295","7,313"
8. Vay và nợ thuê tài chính dài hạn,"38,394","39,496","44,646","47,969","37,986"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,"1,172","1,225","1,359","1,624","1,446"
12. Dự phòng phải trả dài hạn,"2,424","2,237","2,245","2,302","2,398"
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"182,369","196,216","206,783","215,966","220,443"
I. Vốn chủ sở hữu,"182,369","196,216","206,783","215,966","220,443"
1. Vốn góp của chủ sở hữu,"43,544","43,544","43,544","43,544","41,074"
- Cổ phiếu phổ thông có quyền biểu quyết,"43,544","43,544","43,544","43,544","41,074"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"1,260","1,260","1,260","1,260","-6,756"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,"1,106","1,106","1,111","1,111","1,111"
11. Lợi nhuận sau thuế chưa phân phối,"133,125","136,336","146,584","154,216","166,651"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"99,999","133,392","133,344","133,386","133,387"
- LNST chưa phân phối kỳ này,"33,125","2,944","13,240","20,830","33,264"
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"3,335","13,970","14,283","15,835","18,362"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"447,361","464,485","494,461","524,684","560,724"
