SHB,Q1/2020,Q2/2020,Q3/2020,Q4/2020,Q1/2021
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,461","7,880","8,309","8,156","7,743"
2. Chi phí lãi và các chi phí tương tự,"5,777","5,561","5,778","4,844","5,517"
I. Thu nhập lãi thuần,"1,684","2,319","2,530","3,313","2,226"
3. Thu nhập từ hoạt động dịch vụ,152,156,181,252,188
4. Chi phí hoạt động dịch vụ,41,61,61,64,61
II. Lãi/lỗ thuần từ hoạt động dịch vụ,112,94,120,188,127
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,45,31,56,60,54
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,2,12,382,898,52
5. Thu nhập từ hoạt động khác,13,30,56,190,110
6. Chi phí hoạt động khác,7,24,-16,18,15
VI. Lãi/lỗ thuần từ hoạt động khác,6,6,72,171,95
"VII. Thu nhập từ góp vốn, mua cổ phần",2,1,1,,2
VIII. Chi phí hoạt động,"1,071",881,"1,158","1,212",891
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),779,"1,582","2,004","3,418","1,664"
X. Chi phí dự phòng rủi ro tín dụng,,664,"1,057","2,612",
XI. Tổng lợi nhuận trước thuế (IX-X),779,918,947,805,"1,664"
7. Chi phí thuế TNDN hiện hành,165,175,190,163,334
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,165,175,190,163,334
XIII. Lợi nhuận sau thuế (XI-XII),614,743,757,642,"1,330"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),614,743,757,642,"1,330"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
