SHB,Q1/2010,Q2/2010,Q3/2010,Q4/2010,Q1/2011
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",199,199,227,202,330
II. Tiền gửi tại NHNN,122,750,533,505,202
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","3,017","3,474","7,774","11,637","14,213"
"1. Tiền, vàng gửi tại các TCTD khác","3,017","3,474","7,774","11,637","14,213"
2. Cho vay các TCTD khác,0,0,0,,
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,,
IV. Chứng khoán kinh doanh,17,62,120,99,68
1. Chứng khoán kinh doanh,17,62,120,100,69
2. Dự phòng giảm giá chứng khoán kinh doanh,0,0,-1,-1,
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,1,3,4,12,
VI. Cho vay khách hàng,"13,335","18,192","20,437","24,302","24,804"
1. Cho vay và cho thuê tài chính khách hàng,"13,462","18,405","20,653","24,576","25,087"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-127,-213,-216,-274,-282
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"4,568","5,542","5,276","8,768","9,089"
1. Chứng khoán đầu tư sẵn sàng để bán,"3,038","2,713","3,589","7,131","8,102"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,541","2,841","1,700","1,650","1,000"
3. Dự phòng giảm giá chứng khoán đầu tư,-11,-12,-13,-13,-13
"VIII. Góp vốn, đầu tư dài hạn",270,311,327,332,338
1. Đầu tư vào công ty con,0,0,0,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,0,,
3. Đầu tư dài hạn khác,270,311,327,333,338
4. Dự phòng giảm giá đầu tư dài hạn,0,0,-2,0,
IX. Tài sản cố định,851,849,914,"1,526","1,534"
1. Tài sản cố định hữu hình,123,121,121,127,135
a. Nguyên giá TSCĐ,161,164,168,177,191
b. Hao mòn TSCĐ,-38,-44,-47,-50,-56
2. Tài sản cố định thuê tài chính,0,0,0,,
a. Nguyên giá TSCĐ,0,0,0,,
b. Hao mòn TSCĐ,0,0,0,,
3. Tài sản cố định vô hình,728,728,792,"1,400","1,399"
a. Nguyên giá TSCĐ,731,731,799,"1,406","1,406"
b. Hao mòn TSCĐ,-3,-4,-6,-7,-7
X. Bất động sản đầu tư,0,0,0,,
a. Nguyên giá BĐSĐT,0,0,0,,
b. Hao mòn BĐSĐT,0,0,0,,
"XI. Tài sản ""Có"" khác","2,592","4,798","4,583","3,766","5,225"
1. Các khoản phải thu,492,"1,737","1,898","2,030","2,705"
"2. Các khoản lãi, phí phải thu",516,780,860,963,"1,284"
3. Tài sản thuế TNDN hoãn lại,0,0,0,,
4. Tài sản Có khác,"1,584","2,282","1,825",772,"1,236"
- Trong đó: Lợi thế thương mại,0,0,0,,
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,,
TỔNG CỘNG TÀI SẢN,"24,971","34,179","40,193","51,136","55,816"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,209,"1,717","1,011",904,699
II. Tiền gửi và vay các TCTD khác,"5,273","4,890","7,463","13,272","17,304"
1. Tiền gửi của các TCTD khác,"5,273","4,890","7,463","13,272","17,304"
2. Vay các TCTD khác,0,0,0,,
III. Tiền gửi của khách hàng,"15,478","19,613","23,198","25,634","27,780"
IV. Các công cụ tài chính phái sinh và các khoản nợ tài chính khác,0,0,3,0,
"V. Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",45,58,482,480,383
VI. Phát hành giấy tờ có giá,239,"4,504","4,145","5,745","4,071"
VII. Các khoản nợ khác,"1,190",689,"1,303",900,"1,180"
"1. Các khoản lãi, phí phải trả",171,306,455,685,696
2. Thuế TNDN hoãn lại phải trả,0,0,0,,
3. Các khoản phải trả và công nợ khác,"1,015",375,840,207,476
4. Dự phòng rủi ro khác (Dự phòng cho công nợ tiềm ẩn và cam kết ngoại bảng),4,8,8,8,8
TỔNG NỢ PHẢI TRẢ,"22,433","31,472","37,601","46,938","51,417"
VIII. Vốn và các quỹ,"2,538","2,707","2,592","4,198","4,399"
1. Vốn của TCTD,"2,043","2,043","2,043","3,590","3,590"
a. Vốn điều lệ,"2,000","2,000","2,000","3,498","3,498"
b. Vốn đầu tư XDCB,0,0,0,,
c. Thặng dư vốn cổ phần,48,48,48,98,98
d. Cổ phiếu quỹ,-5,-5,-5,-5,-5
e. Cổ phiếu ưu đãi,0,0,0,,
g. Vốn khác,0,0,0,,
2. Quỹ của TCTD,96,96,117,184,169
3. Chênh lệch tỷ giá hối đoái,-28,-13,-13,0,
4. Chênh lệch đánh giá lại tài sản,0,0,16,,
5. Lợi nhuận chưa phân phối/Lỗ lũy kế,426,581,445,424,623
6. Lợi ích cổ đông không kiểm soát,,,,,
IX. Lợi ích của cổ đông thiểu số,0,0,0,,
TỔNG NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,"24,971","34,179","40,193","51,136","55,816"
