SHB,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"3,620","2,976","4,752","3,938","4,381"
2. Chi phí lãi và các chi phí tương tự,"2,850","2,259","2,912","3,013","3,200"
I. Thu nhập lãi thuần,769,717,"1,840",925,"1,181"
3. Thu nhập từ hoạt động dịch vụ,90,77,205,93,120
4. Chi phí hoạt động dịch vụ,29,19,13,16,17
II. Lãi/lỗ thuần từ hoạt động dịch vụ,61,58,192,78,103
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,-3,30,32,28,-16
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,,1,1,0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,2,1,6,0,-6
5. Thu nhập từ hoạt động khác,67,566,72,52,32
6. Chi phí hoạt động khác,66,241,41,30,61
VI. Lãi/lỗ thuần từ hoạt động khác,1,326,31,22,-29
"VII. Thu nhập từ góp vốn, mua cổ phần",1,0,,,1
VIII. Chi phí hoạt động,542,624,886,554,639
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),289,508,"1,217",499,595
X. Chi phí dự phòng rủi ro tín dụng,69,245,841,192,101
XI. Tổng lợi nhuận trước thuế (IX-X),220,264,376,307,495
7. Chi phí thuế TNDN hiện hành,40,60,64,62,94
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,40,60,64,62,94
XIII. Lợi nhuận sau thuế (XI-XII),180,203,312,245,401
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),180,203,312,245,401
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
