SHB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,266","1,447","1,545","1,700","1,498"
II. Tiền gửi tại NHNN,"3,526","3,733","2,068","1,950","2,926"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","25,211","33,528","30,818","38,696","32,308"
"1. Tiền, vàng gửi tại các TCTD khác","23,063","27,874","26,360","35,636","30,192"
2. Cho vay các TCTD khác,"2,148","5,654","4,459","3,060","2,117"
3. Dự phòng rủi ro cho vay các TCTD khác,0,,,,
IV. Chứng khoán kinh doanh,503,1,448,448,"1,022"
1. Chứng khoán kinh doanh,507,4,451,451,"1,025"
2. Dự phòng giảm giá chứng khoán kinh doanh,-4,-3,-3,-3,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,65,136,40,,
VI. Cho vay khách hàng,"189,531","193,421","199,624","205,448","194,009"
1. Cho vay và cho thuê tài chính khách hàng,"191,727","196,131","202,488","208,360","197,030"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,196","-2,710","-2,864","-2,913","-3,020"
VII. Hoạt động mua nợ,0,,,,
1. Mua nợ,0,,,,
2. Dự phòng rủi ro hoạt động mua nợ,0,,,,
VII. Chứng khoán đầu tư,"21,329","20,705","21,031","25,449","38,393"
1. Chứng khoán đầu tư sẵn sàng để bán,"13,031","12,268","11,725","12,937","15,840"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"10,183","10,683","11,093","14,427","24,516"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,885","-2,246","-1,787","-1,916","-1,963"
"VIII. Góp vốn, đầu tư dài hạn",229,215,215,217,207
1. Đầu tư vào công ty con,0,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",0,,,,
3. Đầu tư dài hạn khác,242,227,227,227,223
4. Dự phòng giảm giá đầu tư dài hạn,-13,-12,-12,-10,-16
IX. Tài sản cố định,"3,900","3,952","3,986","3,978","3,979"
1. Tài sản cố định hữu hình,370,425,457,453,449
a. Nguyên giá TSCĐ,954,"1,011","1,064","1,081","1,093"
b. Hao mòn TSCĐ,-584,-586,-608,-628,-644
2. Tài sản cố định thuê tài chính,0,,,,
a. Nguyên giá TSCĐ,0,,,,
b. Hao mòn TSCĐ,0,,,,
3. Tài sản cố định vô hình,"3,530","3,527","3,530","3,525","3,531"
a. Nguyên giá TSCĐ,"3,744","3,738","3,750","3,753","3,765"
b. Hao mòn TSCĐ,-213,-212,-221,-228,-234
X. Bất động sản đầu tư,17,17,,,
a. Nguyên giá BĐSĐT,17,17,,,
