SHB,Q1/2009,Q2/2009,Q3/2009,Q4/2009,Q1/2010
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Đơn lẻ,Đơn lẻ,Đơn lẻ,Đơn lẻ,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,437,,,,689
2. Chi phí lãi và các chi phí tương tự,325,,,,477
I. Thu nhập lãi thuần,112,,,,212
3. Thu nhập từ hoạt động dịch vụ,2,,,,63
4. Chi phí hoạt động dịch vụ,1,,,,17
II. Lãi/lỗ thuần từ hoạt động dịch vụ,0,,,,46
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,5,,,,29
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,0,,,,0
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,0,,,,0
5. Thu nhập từ hoạt động khác,5,,,,1
6. Chi phí hoạt động khác,0,,,,0
VI. Lãi/lỗ thuần từ hoạt động khác,5,,,,1
"VII. Thu nhập từ góp vốn, mua cổ phần",0,,,,0
VIII. Chi phí hoạt động,41,,,,127
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),81,,,,161
X. Chi phí dự phòng rủi ro tín dụng,0,,,,0
XI. Tổng lợi nhuận trước thuế (IX-X),81,,,,161
7. Chi phí thuế TNDN hiện hành,0,,,,40
8. Chi phí thuế TNDN hoãn lại,0,,,,0
XII. Chi phí thuế TNDN,0,,,,40
XIII. Lợi nhuận sau thuế (XI-XII),81,,,,121
XIV. Lợi ích của cổ đông thiểu số,0,,,,0
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),81,,,,121
Lãi cơ bản trên cổ phiếu (BCTC),0,,,,0
