SHB,Q4/2023,Q1/2024,Q2/2024,Q3/2024,Q4/2024
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"15,132","13,052","10,958","10,375","15,894"
2. Chi phí lãi và các chi phí tương tự,"9,776","7,882","6,860","7,114","7,610"
I. Thu nhập lãi thuần,"5,356","5,170","4,099","3,262","8,284"
3. Thu nhập từ hoạt động dịch vụ,253,227,311,237,785
4. Chi phí hoạt động dịch vụ,119,78,86,92,30
II. Lãi/lỗ thuần từ hoạt động dịch vụ,134,149,224,145,755
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,45,52,21,-26,39
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,0,2
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,34,5,24,75,-110
5. Thu nhập từ hoạt động khác,308,474,180,406,556
6. Chi phí hoạt động khác,25,18,14,17,127
VI. Lãi/lỗ thuần từ hoạt động khác,283,456,166,389,428
"VII. Thu nhập từ góp vốn, mua cổ phần",-44,8,8,7,6
VIII. Chi phí hoạt động,"1,193","1,115","1,195","1,161","2,276"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"4,616","4,725","3,346","2,691","7,128"
X. Chi phí dự phòng rủi ro tín dụng,"3,881",708,504,517,"4,633"
XI. Tổng lợi nhuận trước thuế (IX-X),735,"4,017","2,843","2,173","2,495"
7. Chi phí thuế TNDN hiện hành,156,808,567,422,513
8. Chi phí thuế TNDN hoãn lại,,,,12,
XII. Chi phí thuế TNDN,156,808,567,433,513
XIII. Lợi nhuận sau thuế (XI-XII),579,"3,209","2,275","1,740","1,982"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),579,"3,209","2,275","1,740","1,982"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
