SHB,Q3/2022,Q4/2022,Q1/2023,Q2/2023,Q3/2023
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"10,616","11,249","15,158","13,988","13,750"
2. Chi phí lãi và các chi phí tương tự,"5,795","6,957","9,315","9,854","9,329"
I. Thu nhập lãi thuần,"4,821","4,292","5,844","4,134","4,422"
3. Thu nhập từ hoạt động dịch vụ,339,341,309,225,102
4. Chi phí hoạt động dịch vụ,85,94,86,96,64
II. Lãi/lỗ thuần từ hoạt động dịch vụ,255,247,222,129,38
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,19,20,65,65,108
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,93,34,1,10,12
5. Thu nhập từ hoạt động khác,157,134,86,100,38
6. Chi phí hoạt động khác,26,25,16,6,26
VI. Lãi/lỗ thuần từ hoạt động khác,131,110,70,94,12
"VII. Thu nhập từ góp vốn, mua cổ phần",,2,2,675,
VIII. Chi phí hoạt động,"1,179","1,263","1,210","1,116","1,546"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"4,138","3,442","4,994","3,992","3,045"
X. Chi phí dự phòng rủi ro tín dụng,879,"2,819","1,374","1,539",620
XI. Tổng lợi nhuận trước thuế (IX-X),"3,258",624,"3,620","2,453","2,425"
7. Chi phí thuế TNDN hiện hành,662,145,739,393,364
8. Chi phí thuế TNDN hoãn lại,6,,,,2
XII. Chi phí thuế TNDN,668,145,739,393,367
XIII. Lợi nhuận sau thuế (XI-XII),"2,591",479,"2,881","2,060","2,059"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"2,591",479,"2,881","2,060","2,059"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
