SHB,Q2/2011,Q3/2011,Q4/2011,Q1/2012,Q2/2012
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý",321,312,425,363,341
II. Tiền gửi tại NHNN,184,600,35,"1,009",820
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","17,526","19,470","18,845","25,723","30,377"
"1. Tiền, vàng gửi tại các TCTD khác","17,526","19,470","18,845","25,723","30,377"
2. Cho vay các TCTD khác,0,0,0,0,0
3. Dự phòng rủi ro cho vay các TCTD khác,0,0,0,0,0
IV. Chứng khoán kinh doanh,33,40,18,21,13
1. Chứng khoán kinh doanh,34,40,36,42,32
2. Dự phòng giảm giá chứng khoán kinh doanh,-1,-1,-18,-20,-19
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,9,9,4,3,5
VI. Cho vay khách hàng,"26,597","27,959","28,853","31,137","30,325"
1. Cho vay và cho thuê tài chính khách hàng,"26,883","28,267","29,208","31,561","30,696"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,-286,-309,-355,-424,-370
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"9,191","12,143","15,097","7,690","10,134"
1. Chứng khoán đầu tư sẵn sàng để bán,"8,205","8,312","12,501","5,104","3,400"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"1,000","3,844","2,611","2,599","6,744"
3. Dự phòng giảm giá chứng khoán đầu tư,-14,-13,-15,-13,-9
"VIII. Góp vốn, đầu tư dài hạn",323,"1,560","1,000",333,333
1. Đầu tư vào công ty con,0,0,0,0,0
"2. Đầu tư vào công ty liên doanh, liên kết",0,0,0,0,0
3. Đầu tư dài hạn khác,323,"1,560","1,000",334,334
4. Dự phòng giảm giá đầu tư dài hạn,0,0,0,-1,-1
IX. Tài sản cố định,"2,186","2,188","2,255","2,275","2,274"
1. Tài sản cố định hữu hình,138,138,168,186,183
a. Nguyên giá TSCĐ,202,209,253,281,287
b. Hao mòn TSCĐ,-64,-71,-85,-95,-105
2. Tài sản cố định thuê tài chính,0,0,0,0,0
a. Nguyên giá TSCĐ,0,0,0,0,0
b. Hao mòn TSCĐ,0,0,0,0,0
3. Tài sản cố định vô hình,"2,048","2,050","2,087","2,088","2,091"
a. Nguyên giá TSCĐ,"2,057","2,059","2,106","2,110","2,115"
b. Hao mòn TSCĐ,-9,-9,-19,-21,-24
X. Bất động sản đầu tư,0,0,0,0,68
a. Nguyên giá BĐSĐT,0,0,0,0,68
b. Hao mòn BĐSĐT,0,0,0,0,0
"XI. Tài sản ""Có"" khác","4,668","5,472","4,460","5,816","6,295"
1. Các khoản phải thu,"1,994","1,907","1,903","2,760","2,937"
"2. Các khoản lãi, phí phải thu","1,647","2,721","1,671","2,087","2,434"
3. Tài sản thuế TNDN hoãn lại,0,0,0,0,0
4. Tài sản Có khác,"1,027",844,885,969,924
- Trong đó: Lợi thế thương mại,0,0,0,0,0
5. Các khoản dự phòng rủi ro cho các tài sản Có nội bảng khác,0,0,0,0,0
TỔNG CỘNG TÀI SẢN,"61,039","69,752","70,993","74,370","80,986"
B. NỢ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,
I. Các khoản nợ Chính phủ và NHNN,700,"1,931","2,185",400,800
