SHB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"7,116","5,793","6,864","7,260","7,816"
2. Chi phí lãi và các chi phí tương tự,"4,924","4,440","5,122","5,005","5,335"
I. Thu nhập lãi thuần,"2,193","1,353","1,742","2,255","2,482"
3. Thu nhập từ hoạt động dịch vụ,442,156,227,84,417
4. Chi phí hoạt động dịch vụ,-33,31,34,51,74
II. Lãi/lỗ thuần từ hoạt động dịch vụ,475,125,193,33,343
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,10,14,17,26,99
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,6,31,12,114,315
5. Thu nhập từ hoạt động khác,126,23,57,80,169
6. Chi phí hoạt động khác,15,4,38,69,25
VI. Lãi/lỗ thuần từ hoạt động khác,111,19,19,10,144
"VII. Thu nhập từ góp vốn, mua cổ phần",,1,,1,0
VIII. Chi phí hoạt động,"1,171",799,792,"1,023","1,286"
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,625",744,"1,191","1,415","2,097"
X. Chi phí dự phòng rủi ro tín dụng,"1,004",,373,714,"1,282"
XI. Tổng lợi nhuận trước thuế (IX-X),621,744,818,701,815
7. Chi phí thuế TNDN hiện hành,127,149,175,141,164
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,127,149,175,141,164
XIII. Lợi nhuận sau thuế (XI-XII),494,594,642,560,651
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),494,594,642,560,651
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
