SHB,Q4/2018,Q1/2019,Q2/2019,Q3/2019,Q4/2019
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
A. TÀI SẢN,,,,,
"I. Tiền mặt, vàng bạc, đá quý","1,885","2,115","1,845","1,412","1,755"
II. Tiền gửi tại NHNN,"4,195","5,699","6,811","5,686","10,162"
"III. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác","30,073","23,632","23,187","26,962","33,711"
"1. Tiền, vàng gửi tại các TCTD khác","29,782","23,132","23,187","26,937","33,584"
2. Cho vay các TCTD khác,290,500,25,127,
3. Dự phòng rủi ro cho vay các TCTD khác,,,,,
IV. Chứng khoán kinh doanh,"1,750",1,1,1,1
1. Chứng khoán kinh doanh,"1,764",4,4,4,4
2. Dự phòng giảm giá chứng khoán kinh doanh,-14,-3,-3,-3,-3
V. Các công cụ tài chính phái sinh và các tài sản tài chính khác,58,56,101,153,173
VI. Cho vay khách hàng,"214,001","223,012","236,770","249,483","262,075"
1. Cho vay và cho thuê tài chính khách hàng,"216,989","226,014","240,006","252,778","265,204"
2. Dự phòng rủi ro cho vay và cho thuê tài chính khách hàng,"-2,988","-3,002","-3,236","-3,296","-3,129"
VII. Hoạt động mua nợ,,,,,
1. Mua nợ,,,,,
2. Dự phòng rủi ro hoạt động mua nợ,,,,,
VII. Chứng khoán đầu tư,"46,274","50,654","44,380","37,814","21,594"
1. Chứng khoán đầu tư sẵn sàng để bán,"23,433","28,461","22,212","17,423","6,558"
2. Chứng khoán đầu tư giữ đến ngày đáo hạn,"24,761","24,120","24,122","22,406","15,781"
3. Dự phòng giảm giá chứng khoán đầu tư,"-1,921","-1,926","-1,955","-2,016",-745
"VIII. Góp vốn, đầu tư dài hạn",196,188,189,161,161
1. Đầu tư vào công ty con,,,,,
"2. Đầu tư vào công ty liên doanh, liên kết",,,,,
3. Đầu tư dài hạn khác,202,194,194,166,166
4. Dự phòng giảm giá đầu tư dài hạn,-6,-6,-5,-5,-5
IX. Tài sản cố định,"4,789","4,791","4,796","4,817","4,818"
1. Tài sản cố định hữu hình,483,481,486,501,498
a. Nguyên giá TSCĐ,"1,141","1,145","1,168","1,210","1,223"
