SHB,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"4,100","5,938","4,948","5,228","5,436"
2. Chi phí lãi và các chi phí tương tự,"3,383","3,796","3,875","4,129","4,262"
I. Thu nhập lãi thuần,717,"2,142","1,073","1,098","1,174"
3. Thu nhập từ hoạt động dịch vụ,860,348,88,67,154
4. Chi phí hoạt động dịch vụ,16,18,30,20,93
II. Lãi/lỗ thuần từ hoạt động dịch vụ,844,330,58,47,61
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,30,43,28,-1,25
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,14,5,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,9,22,28,235,11
5. Thu nhập từ hoạt động khác,224,52,50,76,4
6. Chi phí hoạt động khác,61,48,43,54,
VI. Lãi/lỗ thuần từ hoạt động khác,163,3,7,22,4
"VII. Thu nhập từ góp vốn, mua cổ phần",1,1,,1,1
VIII. Chi phí hoạt động,630,817,626,678,697
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"1,149","1,731",569,725,579
X. Chi phí dự phòng rủi ro tín dụng,620,"1,123",66,183,231
XI. Tổng lợi nhuận trước thuế (IX-X),529,608,503,542,348
7. Chi phí thuế TNDN hiện hành,103,130,101,109,70
8. Chi phí thuế TNDN hoãn lại,,,,,
XII. Chi phí thuế TNDN,103,130,101,109,70
XIII. Lợi nhuận sau thuế (XI-XII),426,478,402,433,279
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),426,478,402,433,279
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
