SHB,Q2/2021,Q3/2021,Q4/2021,Q1/2022,Q2/2022
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Thu nhập lãi và các khoản thu nhập tương tự,"8,812","9,149","9,965","9,407","9,959"
2. Chi phí lãi và các chi phí tương tự,"4,350","5,184","5,191","5,185","5,750"
I. Thu nhập lãi thuần,"4,461","3,966","4,774","4,223","4,210"
3. Thu nhập từ hoạt động dịch vụ,223,225,269,244,306
4. Chi phí hoạt động dịch vụ,91,79,91,87,85
II. Lãi/lỗ thuần từ hoạt động dịch vụ,132,147,177,157,221
III. Lãi/lỗ thuần từ hoạt động kinh doanh ngoại hối và vàng,18,35,33,28,49
IV. Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,,
V. Lãi/lỗ thuần từ mua bán chứng khoán đầu tư,242,475,175,66,28
5. Thu nhập từ hoạt động khác,114,41,819,252,273
6. Chi phí hoạt động khác,28,4,15,43,27
VI. Lãi/lỗ thuần từ hoạt động khác,86,37,803,209,246
"VII. Thu nhập từ góp vốn, mua cổ phần",,,17,10,2
VIII. Chi phí hoạt động,"1,250",912,"1,350",995,945
IX. Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng (I+II+III+IV+V+VI+VII-VIII),"3,690","3,748","4,631","3,699","3,811"
X. Chi phí dự phòng rủi ro tín dụng,"2,258","1,880","3,461",472,"1,189"
XI. Tổng lợi nhuận trước thuế (IX-X),"1,431","1,869","1,169","3,227","2,621"
7. Chi phí thuế TNDN hiện hành,286,365,231,645,525
8. Chi phí thuế TNDN hoãn lại,,9,,,
XII. Chi phí thuế TNDN,286,374,231,645,525
XIII. Lợi nhuận sau thuế (XI-XII),"1,145","1,495",939,"2,582","2,096"
XIV. Lợi ích của cổ đông thiểu số,,,,,
XV. Lợi nhuận sau thuế của cổ đông của Ngân hàng mẹ (XIII-XIV),"1,145","1,495",939,"2,582","2,096"
Lãi cơ bản trên cổ phiếu (BCTC),,,,,
