VIC,Q2/2016,Q3/2016,Q4/2016,Q1/2017,Q2/2017
Giai đoạn,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
3. Chi phí phải trả dài hạn,,,,,
4. Phải trả nội bộ về vốn kinh doanh,,,,,
5. Phải trả nội bộ dài hạn,,,,,
6. Doanh thu chưa thực hiện dài hạn,"2,116","2,435","2,237","2,771","4,467"
7. Phải trả dài hạn khác,"4,559","4,403","1,092",634,688
8. Vay và nợ thuê tài chính dài hạn,"34,013","40,276","34,158","37,983","33,340"
9. Trái phiếu chuyển đổi,,,,,
10. Cổ phiếu ưu đãi (Nợ),,,,,
11. Thuế thu nhập hoãn lại phải trả,462,436,426,358,351
12. Dự phòng phải trả dài hạn,1,,,,
13. Quỹ phát triển khoa học và công nghệ,,,,,
14. Dự phòng trợ cấp mất việc làm,,,,,
B. VỐN CHỦ SỞ HỮU,"44,560","41,905","44,581","43,158","43,828"
I. Vốn chủ sở hữu,"44,560","41,905","44,581","43,158","43,828"
1. Vốn góp của chủ sở hữu,"21,532","26,377","26,377","26,377","26,377"
- Cổ phiếu phổ thông có quyền biểu quyết,"21,532","26,377","26,377","26,377","26,377"
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,"7,317","2,472","2,504","2,505","2,505"
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),"-2,975","-2,975","-2,975","-2,975","-2,975"
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,33,33,33,33,38
11. Lợi nhuận sau thuế chưa phân phối,544,165,446,299,"1,756"
- LNST chưa phân phối lũy kế đến cuối kỳ trước,407,407,407,942,937
- LNST chưa phân phối kỳ này,137,-243,39,-644,818
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"18,109","15,833","18,196","16,919","16,128"
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"159,333","173,234","179,806","187,256","192,790"
