PLX,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"38,301","43,234","45,442","51,340","46,183"
2. Các khoản giảm trừ doanh thu,8,10,11,14,8
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"38,293","43,224","45,430","51,327","46,175"
4. Giá vốn hàng bán,"35,106","40,161","42,220","47,178","42,849"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"3,187","3,063","3,211","4,148","3,326"
6.Doanh thu hoạt động tài chính,178,182,163,233,350
7. Chi phí tài chính,165,188,268,386,596
Trong đó :Chi phí lãi vay,125,172,206,204,229
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",62,86,184,134,138
9. Chi phí bán hàng,"2,010","1,613","1,957","2,304","2,057"
10. Chi phí quản lý doanh nghiệp,198,303,150,181,107
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,054","1,229","1,183","1,643","1,054"
12. Thu nhập khác,78,194,32,34,53
13. Chi phí khác,26,91,8,75,-36
14. Lợi nhuận khác,52,102,24,-41,88
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,106","1,331","1,206","1,602","1,143"
16. Chi phí thuế TNDN hiện hành,212,276,202,326,251
17. Chi phí thuế TNDN hoãn lại,0,-23,1,1,1
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,894,"1,078","1,003","1,275",891
Lợi ích của cổ đông thiểu số,121,157,105,113,85
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,773,921,898,"1,162",805
19. Lãi cơ bản trên cổ phiếu (*),666,795,775,"1,003",697
20. Lãi suy giảm trên cổ phiếu (*),,,,,
