VHM,Q1/2016,Q2/2016,Q3/2016,Q4/2016,Q1/2017
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,367,437,876,"9,539","3,378"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,367,437,876,"9,539","3,378"
4. Giá vốn hàng bán,278,328,487,"5,645","1,947"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,89,108,389,"3,894","1,431"
6.Doanh thu hoạt động tài chính,171,45,175,592,99
7. Chi phí tài chính,98,338,79,434,155
Trong đó :Chi phí lãi vay,98,72,79,221,152
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",480,63,300,-105,82
9. Chi phí bán hàng,100,101,145,989,400
10. Chi phí quản lý doanh nghiệp,164,205,176,384,139
11. Lợi nhuận thuần từ hoạt động kinh doanh,378,-427,463,"2,574",918
12. Thu nhập khác,3,75,78,52,10
13. Chi phí khác,0,19,0,21,6
14. Lợi nhuận khác,3,56,78,31,4
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,381,-371,541,"2,605",923
16. Chi phí thuế TNDN hiện hành,,2,35,547,154
17. Chi phí thuế TNDN hoãn lại,,1,5,-4,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,381,-374,502,"2,062",768
Lợi ích của cổ đông thiểu số,-37,-28,-15,494,28
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,418,-346,517,"1,567",740
19. Lãi cơ bản trên cổ phiếu (*),,"-1,730","2,583","7,836",
20. Lãi suy giảm trên cổ phiếu (*),,"-1,730","2,583","7,836",
