VHM,Q3/2017,Q4/2017,Q1/2018,Q2/2018,Q3/2018
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"6,893","3,231","10,535","5,434","6,878"
2. Các khoản giảm trừ doanh thu,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"6,893","3,231","10,535","5,434","6,878"
4. Giá vốn hàng bán,"4,141","2,852","7,676","3,719","4,222"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,"2,752",379,"2,859","1,715","2,656"
6.Doanh thu hoạt động tài chính,150,341,"1,196","4,394","3,685"
7. Chi phí tài chính,399,814,301,657,718
Trong đó :Chi phí lãi vay,243,229,300,622,718
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",148,-386,0,,0
9. Chi phí bán hàng,616,299,531,282,218
10. Chi phí quản lý doanh nghiệp,156,10,198,205,287
11. Lợi nhuận thuần từ hoạt động kinh doanh,"1,879",-788,"3,025","4,965","5,117"
12. Thu nhập khác,10,57,"1,862",35,26
13. Chi phí khác,96,225,19,14,17
14. Lợi nhuận khác,-86,-168,"1,843",20,9
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,,,,,
15. Tổng lợi nhuận kế toán trước thuế,"1,793",-956,"4,869","4,985","5,126"
16. Chi phí thuế TNDN hiện hành,338,30,910,"1,082",875
17. Chi phí thuế TNDN hoãn lại,-3,-25,-27,21,212
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,"1,458",-961,"3,986","3,882","4,039"
Lợi ích của cổ đông thiểu số,62,32,80,57,191
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,"1,396",-993,"3,906","3,825","3,848"
19. Lãi cơ bản trên cổ phiếu (*),"1,861","-1,324","1,994","1,428","1,149"
20. Lãi suy giảm trên cổ phiếu (*),,,"1,994","1,428",
