VHM,Q1/2016,Q2/2016,Q3/2016,Q4/2016,Q1/2017
Giai đoạn,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12,01/01-31/03
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
1. Vốn góp của chủ sở hữu,"2,000","2,000","2,000","2,000",
- Cổ phiếu phổ thông có quyền biểu quyết,"2,000","2,000","2,000","2,000",
- Cổ phiếu ưu đãi,,,,,
2. Thặng dư vốn cổ phần,,,,,
3. Quyền chọn chuyển đổi trái phiếu,,,,,
4. Vốn khác của chủ sở hữu,,,,,
5. Cổ phiếu quỹ (*),,,,,
6. Chênh lệch đánh giá lại tài sản,,,,,
7. Chênh lệch tỷ giá hối đoái,,,,,
8. Quỹ đầu tư phát triển,,,,,
9. Quỹ hỗ trợ sắp xếp doanh nghiệp,,,,,
10. Quỹ khác thuộc vốn chủ sở hữu,-41,"-2,824","-2,811","-2,769",
11. Lợi nhuận sau thuế chưa phân phối,"1,344","1,859","3,355","3,711",
- LNST chưa phân phối lũy kế đến cuối kỳ trước,"1,446","1,446","1,446","2,971",
- LNST chưa phân phối kỳ này,-102,413,"1,908",740,
12. Nguồn vốn đầu tư XDCB,,,,,
13. Lợi ích cổ đông không kiểm soát,"3,379","3,365","3,943","7,375",
14. Quỹ dự phòng tài chính,,,,,
II. Nguồn kinh phí và quỹ khác,,,,,
1. Nguồn kinh phí,,,,,
2. Nguồn kinh phí đã hình thành TSCĐ,,,,,
C. LỢI ÍCH CỔ ĐÔNG THIỂU SỐ,,,,,
TỔNG CỘNG NGUỒN VỐN,"28,243","33,781","34,318","39,485",
