FPT,Q4/2006,Q1/2007,Q2/2007,Q3/2007,Q4/2007
Giai đoạn,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09,01/10-31/12
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
1. Doanh thu bán hàng và cung cấp dịch vụ,"7,143","5,664","6,071","6,238","9,376"
2. Các khoản giảm trừ doanh thu,0,0,0,0,0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,"7,143","5,664","6,071","6,238","9,376"
4. Giá vốn hàng bán,"6,528","5,261","5,509","5,758","8,481"
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,615,403,561,480,896
6.Doanh thu hoạt động tài chính,4,10,6,8,26
7. Chi phí tài chính,16,14,17,22,22
Trong đó :Chi phí lãi vay,11,10,11,10,12
"8. Phần lãi/lỗ trong công ty liên doanh, liên kết",,,,,
9. Chi phí bán hàng,192,110,135,172,307
10. Chi phí quản lý doanh nghiệp,167,127,147,178,242
11. Lợi nhuận thuần từ hoạt động kinh doanh,244,162,268,117,350
12. Thu nhập khác,52,51,36,42,51
13. Chi phí khác,24,7,5,6,37
14. Lợi nhuận khác,28,45,31,36,14
Phần lợi nhuận/lỗ từ công ty liên kết liên doanh,0,0,0,0,3
15. Tổng lợi nhuận kế toán trước thuế,272,207,300,153,367
16. Chi phí thuế TNDN hiện hành,32,27,43,25,54
17. Chi phí thuế TNDN hoãn lại,0,0,0,0,0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,240,179,257,128,313
Lợi ích của cổ đông thiểu số,12,24,46,41,40
Lợi nhuận sau thuế của cổ đông của Công ty mẹ,228,155,211,88,273
19. Lãi cơ bản trên cổ phiếu (*),"4,060",0,0,0,0
20. Lãi suy giảm trên cổ phiếu (*),,,,,
