FPT,Q3/2007,Q4/2007,Q1/2008,Q2/2008,Q3/2008
Giai đoạn,01/07-30/09,01/10-31/12,01/01-31/03,01/04-30/06,01/07-30/09
Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất,Hợp nhất
Kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán,Chưa kiểm toán
Công ty kiểm toán,,,,,
Ý kiến kiểm toán,,,,,
,,,,,
TÀI SẢN,,,,,
A. TÀI SẢN NGẮN HẠN,"3,154","4,367","5,221","5,108","4,812"
I. Tiền và các khoản tương đương tiền,531,896,"1,455","1,075","1,157"
1. Tiền,531,896,"1,435",814,"1,116"
2. Các khoản tương đương tiền,0,0,20,261,41
II.  Đầu tư tài chính ngắn hạn,0,0,0,0,0
1. Chứng khoán kinh doanh,0,0,0,0,0
2. Dự phòng giảm giá chứng khoán kinh doanh (*),0,0,0,0,0
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,
III. Các khoản phải thu ngắn hạn,"1,597","1,927","2,200","2,059","1,663"
1. Phải thu ngắn hạn của khách hàng,"1,142","1,507","1,564","1,377","1,108"
2. Trả trước cho người bán ngắn hạn,292,274,366,339,329
3. Phải thu nội bộ ngắn hạn,41,0,12,28,23
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,0,62,66,99,71
5. Phải thu về cho vay ngắn hạn,,,,,
6. Phải thu ngắn hạn khác,122,91,197,220,135
7. Dự phòng phải thu ngắn hạn khó đòi (*),0,-7,-6,-5,-3
8. Tài sản thiếu chờ xử lý,,,,,
IV. Hàng tồn kho,893,"1,378","1,392","1,748","1,800"
1. Hàng tồn kho,893,"1,380","1,394","1,750","1,802"
2. Dự phòng giảm giá hàng tồn kho (*),0,-2,-2,-2,-2
V. Tài sản ngắn hạn khác,134,166,173,226,193
1. Chi phí trả trước ngắn hạn,27,35,29,43,34
2. Thuế GTGT được khấu trừ,78,131,142,161,141
3. Thuế và các khoản khác phải thu của nhà nước,1,0,0,0,0
4. Giao dịch mua bán lại trái phiếu chính phủ,0,0,0,0,0
5. Tài sản ngắn hạn khác,28,1,2,22,18
B. TÀI SẢN DÀI HẠN,631,979,"1,231","1,373","1,388"
I. Các khoản phải thu dài hạn,0,6,6,6,6
1. Phải thu dài hạn của khách hàng,0,0,0,0,0
2. Trả trước cho người bán dài hạn,,,,,
3. Vốn kinh doanh ở các đơn vị trực thuộc,0,0,0,0,0
4.  Phải thu nội bộ dài hạn,0,0,0,0,0
5. Phải thu về cho vay dài hạn,,,,,
6. Phải thu dài hạn khác,0,6,6,6,6
7. Dự phòng phải thu dài hạn khó đòi (*),0,0,0,0,0
II. Tài sản cố định,493,606,643,749,720
1. Tài sản cố định hữu hình,345,564,593,682,652
- Nguyên giá,642,896,987,"1,125","1,121"
- Giá trị hao mòn lũy kế (*),-297,-333,-394,-443,-469
2. Tài sản cố định thuê tài chính,0,0,0,0,0
- Nguyên giá,0,0,0,0,0
- Giá trị hao mòn lũy kế (*),0,0,0,0,0
